orgnr,target_url,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug,county,municipality,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,webshop_platform,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons
556002-1080,https://www.castolin.com/sv-SE,Castolin Scandinavia Aktiebolag,Castolin Scandinavia Aktiebolag,46649,,46649; 46620,PARTILLE,43325,BOX 263,"Bolaget skall sälja utrustning och tillsatsmaterial för reparation och förebyggande underhåll genom bl a lödning, svetsning och termisk sprutning med tillhörande utbildning och konsulttjänster inom detta område, att driva verkstadsrörelse samt idka därmed förenlig verksamhet.",1898-02-21,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/castolin+scandinavia+ab/partille/ngsvbzik | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,ekonomi.se@castolin.com,,castolin.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556011-0503,https://www.osterbergs.nu,Österbergs Industrihandel,Österbergs Industrihandel AB,46841,,46841; 33120; 18122; 22120,KARLSTAD,65005,BOX 5240,"Bolaget ska direkt och indirekt via dotterbolag bedriva försäljning av maskiner och förnödenheter med speciell inriktning på bygg- och tillverkningsindustrin och via dotterbolag förvaltning av fastigheter och leasingverksamhet av fordon, maskiner och annan lös egendom samt därmed förenlig verksamhet.",1912-06-25,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6sterbergs+industrihandel+ab/karlstad/alpqxfng | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,par.claesson@osterbergs.nu; per.djurholm@osterbergs.nu; stefan.eriksson@osterbergs.nu,+46 54 85 25 00; +46 19 27 01 40; +46 54 85 25 96,osterbergs.nu,https://osterbergs.nu/kontakt,browser,no,product_cards; sampled_3,main@https://osterbergs.nu/:productCards(3) | main@https://osterbergs.nu/:samplingRan(sampled=3) | sampleURL@https://osterbergs.nu/tjanster/forsaljning/:status=200 | sampleURL@https://osterbergs.nu/tjanster/distribution/:status=200 | sampleURL@https://osterbergs.nu/tjanster/centrallager/:status=200 | internal@https://osterbergs.nu/tjanster/distribution/:productCards(3) | contact_like@https://osterbergs.nu/tjanster/serviceverkstad/:productCards(3) | contact_like@https://osterbergs.nu/tjanster/serviceverkstad/hydraulik/:productCards(3) | contact_like@https://osterbergs.nu/serviceformular/:productCards(3) | contact_like@https://osterbergs.nu/kontakt/:productCards(3),,,,,,,,,,,,,,,,,,,,,,,,
556040-0706,https://www.profilonline.se/,O D Profile AB,O D Profile AB,46499,,46499; 85510,SJÄLEVAD,89431,GOTTNEVÄGEN 47,"Bolaget skall bedriva handel med present- och reklamartiklar, möbler samt köpa, hyra ut och sälja maskiner företrädesvis inom träindustrin, fordon samt data- och kopieringsutrustning, idka handel med värdepapper och därmed förenlig verksamhet.",1941-03-31,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/profilonline/sj%C3%A4levad/lcgsydelc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,frida.jonth@odprofile.se,,profilonline.se,,,,,,,Västernorrland,Örnsköldsvik,24546000,2025,in_band,true,1,,,,,,,,,,,,,,,,
556028-1064,http://cbgedda.se/contact/,CB Gedda AB,C.B. Gedda AB,46160,,46160; 68203,HALLSTAHAMMAR,73440,ÅSVÄGEN 11,Bolaget skall driva handel och agenturverksamhet inom textilbranschen samt handel med och förvaltning av värdepapper och fastigheter.,1929-07-20,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/c.b.+gedda+ab/hallstahammar/imnqxxfl | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,+46 31 81 30 10,cbgedda.se,https://cbgedda.se,static,no,,,,,,,,,,,,,,,,,,,,,,,,,,
556014-3256,https://nasvensson.woody.se/,AB NA Svensson,AB NA Svensson,47521,,47521; 47522; 47523,NYKÖPING,61129,BOX 1014,"Föremålet för bolagets verksamhet är att driva handel med järn-, färg- och bygghandelsvaror, maskiner anknutna till nämnda branscher samt äga och förvalta värdepapper och fast egendom ävensom driva annan därmed förenlig verksamhet.",1917-04-13,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ab-na-svensson/nyk%C3%B6ping/angueakq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,huddinge@nasvensson.se; info@nasvensson.se,,nasvensson.woody.se,https://www.nasvensson.se/om-oss,browser,yes,cart; product_cards; priced_cards; sampled_1; sample_pdp_1; sample_addtocart_1,main@https://www.nasvensson.se/:hasCart(uiPhrase) | main@https://www.nasvensson.se/:pricedCards(multiPrices) | main@https://www.nasvensson.se/:productCards(68) | DECISION@main@https://www.nasvensson.se/ | contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice:hasCart(uiPhrase) | contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice:samplingRan(sampled=1) | sampleURL@https://nasvensson.woody.se/products/hus-bygg:status=200:PDP+ATC | DECISION@sample (confirmed) | DECISION@contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice | contact_like@https://www.nasvensson.se/om-oss:hasCart(uiPhrase),,,,,,,,,,,,,,,,,,,,,,,,
556035-8110,https://www.mobelmastarna.se/,Aktiebolaget Anders Jansson & Söner,Möbelmästarna Sverige AB,46471,,46471,MALMBÄCK,57168,FABRIKSGATAN 24,Bolaget skall bedriva inköp och marknadsföring av möbler samt därmed förenlig verksamhet.,1991-05-28,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/m%C3%B6belm%C3%A4starna+sverige+ab/malmb%C3%A4ck/lgueknngo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,jansson.mobler@telia.com,+4656310253,mobelmastarna.se,https://mobelmastarna.se,browser,no,,,Attempted to use detached Frame 'A337CAE8871EACD0C977B918612868EF'. | method:browser,,,,,,,,,,,,,,,,,,,,,,,
556012-4561,http://www.eberspaecher.se,Eberspächer,Eberspächer Aktiebolag,46720,,46720,TROLLHÄTTAN,46138,KARDANVÄGEN 34,"Bolaget skall tillverka och driva handel med värme- och kylaggregat, ljuddämpare och avgasrenare samt biltillbehör jämte produkter av metall, syntetmaterial, glas etc inom byggbranschen samt bedriva därmed förenlig verksamhet.",1915-02-05,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/eberspacher-ab/trollh%C3%A4ttan/nsdijcsxy | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info-se@eberspaecher.com; privacy-ebab@eberspaecher.com,+46 10 682 68 00,eberspaecher.se,https://www.eberspaecher-climate.com/contact,browser,no,product_cards; sampled_3,main@https://www.eberspaecher-climate.com/se/sv:productCards(12) | main@https://www.eberspaecher-climate.com/se/sv:samplingRan(sampled=3) | sampleURL@https://eberspaecher.se/se/sv/servicepunkt:status=200 | sampleURL@https://eberspaecher.se/se/sv/plats:status=200 | sampleURL@https://eberspaecher.se/se/sv/produkter/fuel-operated-heaters:status=200,,,,,,,,,,,,,,,,,,,,,,,,
556034-3484,http://www.volvocars.com/SE/Volvo-studio,Volvo Car Sverige Aktiebolag,Volvo Car Sverige Aktiebolag,47811,,47811,GÖTEBORG,40531,50090 HB3S,Bolagets verksamhet skall avse att - självt eller genom innehav av aktier eller andelar i andra företag - driva handel med personvagnar och därtill hörande reservdelar och tillbehör samt därmed förenlig verksamhet i Sverige.,1935-07-26,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/volvo-studio-stockholm/stockholm/aklcgguh | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,volvocars.com,https://volvocars.com,browser,no,,,,,,,,,,,,,,,,,,,,,,,,,,
556015-8049,http://www.flora.se/,AB Blomsterhandeln Flora,Aktiebolaget Blomsterhandeln Flora,47761,,47761,KISTA,16443,LANGELANDSGATAN 25  3TR,"Bolaget skall bedriva handel med blommor, vin och öl samt därmed förenlig verksamhet.",1918-05-31,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ab+blomsterhandeln+flora+flora+1/kista/akrsbzhm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,flora.se,https://flora.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:woocommerce,static@https://flora.se:hasCheckout(urlPath:/checkout) | static@https://flora.se:hasCart(urlPath:/cart) | static@https://flora.se:pricedCards(multiPrices) | static@https://flora.se:providers(woocommerce) | static@https://flora.se:productCards(85) | DECISION@static@https://flora.se,,,,,,,,,,,,,,,,,,,,,,,,
556025-0846,https://apak.se,aPak AB,aPak AB,46860,,46860,MÖLNDAL,43121,BOX 60,"Bolaget skall bedriva handel med emballage, förslutnings- och förbrukningsmaterial, plastfolie och stötdämpande material samt alla typer av VCI-rostskyddsprodukter, designa och producera kundspecifika förpackningslösningar, samt andra därmed förenliga verksamheter.",1926-07-19,active,,,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/apak+ab/m%C3%B6lndal/fmqydcty | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,kontakt@apak.se; fredrik.walldal@apak.se; jens.halling@apak.se,+46 31 721 22 00; +46 250 846 01; +46 73 461 84 44,apak.se,https://apak.se/kontakt,browser,no,cart,main@https://apak.se/:hasCart(uiPhrase) | main@https://apak.se/:samplingRan(sampled=0) | contact_like@https://apak.se/kontakt:hasCart(uiPhrase),,,,,,,,,magento,,,,,,,,,,,,no,,41,"is_webshop, platform:magento, has_email, has_orgnr"
