orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556002-1080,Castolin Scandinavia Aktiebolag,Castolin Scandinavia Aktiebolag,46649,,46649; 46620,PARTILLE,43325,BOX 263,"Bolaget skall sälja utrustning och tillsatsmaterial för reparation och förebyggande underhåll genom bl a lödning, svetsning och termisk sprutning med tillhörande utbildning och konsulttjänster inom detta område, att driva verkstadsrörelse samt idka därmed förenlig verksamhet.",1898-02-21,active,,,https://www.castolin.com/sv-SE,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/castolin+scandinavia+ab/partille/ngsvbzik | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,ekonomi.se@castolin.com,,castolin.com,,,,,,
556011-0503,Österbergs Industrihandel,Österbergs Industrihandel AB,46841,,46841; 33120; 18122; 22120,KARLSTAD,65005,BOX 5240,"Bolaget ska direkt och indirekt via dotterbolag bedriva försäljning av maskiner och förnödenheter med speciell inriktning på bygg- och tillverkningsindustrin och via dotterbolag förvaltning av fastigheter och leasingverksamhet av fordon, maskiner och annan lös egendom samt därmed förenlig verksamhet.",1912-06-25,active,,,https://www.osterbergs.nu,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6sterbergs+industrihandel+ab/karlstad/alpqxfng | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,par.claesson@osterbergs.nu; per.djurholm@osterbergs.nu; stefan.eriksson@osterbergs.nu,+46 54 85 25 00; +46 19 27 01 40; +46 54 85 25 96,osterbergs.nu,https://osterbergs.nu/kontakt,browser,no,product_cards; sampled_3,main@https://osterbergs.nu/:productCards(3) | main@https://osterbergs.nu/:samplingRan(sampled=3) | sampleURL@https://osterbergs.nu/tjanster/forsaljning/:status=200 | sampleURL@https://osterbergs.nu/tjanster/distribution/:status=200 | sampleURL@https://osterbergs.nu/tjanster/centrallager/:status=200 | internal@https://osterbergs.nu/tjanster/distribution/:productCards(3) | contact_like@https://osterbergs.nu/tjanster/serviceverkstad/:productCards(3) | contact_like@https://osterbergs.nu/tjanster/serviceverkstad/hydraulik/:productCards(3) | contact_like@https://osterbergs.nu/serviceformular/:productCards(3) | contact_like@https://osterbergs.nu/kontakt/:productCards(3),
556009-6868,Ångpannor och Stokers Aktiebolag,Ångpannor och Stokers Aktiebolag,46649,,46649; 25210,SÄRÖ,42942,ANNELUNDSVÄGEN 17,Bolaget skall bedriva tillverkning och försäljning av komponenter till ångpannor och stokers och försäljning och installation av badanläggningar samt därmed förenlig verksamhet.,1910-07-18,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556019-5546,Förenade Bil Aktiebolaget i Malmö,Förenade Bil Aktiebolaget i Malmö,47811,,47811; 95312; 47820; 95311,MALMÖ,21376,DJURHAGEGATAN 15,"Bolaget skall bedriva handel med motorfordon, reservdelar till motorfordon, reparation av motorfordon ävensom idka annan därmed förenlig verksamhet.",1921-02-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556018-7493,Aktiebolaget Normans Bosättningsaffär,Aktiebolaget Normans Bosättningsaffär,47552,,47552,KALMAR,39356,BILBYGGARVÄGEN 12 A,"Bolaget skall bedriva butikshandel med glas, porslin, möbler, belysning och andra bosättningsvaror även elektriska hushållsapparater.",1920-05-01,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556027-7039,Gärsnäsaktiebolaget N. Olsson & C:o,Gärsnäsaktiebolaget N. Olsson & C:o,46841,,46841; 46610,GÄRSNÄS,27261,STORGATAN 26,Bolaget skall bedriva järn- och maskinaffär samt därmed förenlig verksamhet.,1929-03-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556033-2990,Färghuset i Åkersberga Aktiebolag,Färghuset i Åkersberga Aktiebolag,47523,,47523,ÅKERSBERGA,18440,RALLARVÄGEN 7,Bolaget skall bedriva handel med färg samt därmed förenlig verksamhet.,1934-07-18,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556031-1200,Älvängens Manufakturaktiebolag,Älvängens Manufakturaktiebolag,47711,,47711,ÄLVÄNGEN,44632,GÖTEBORGSVÄGEN 97,Bolaget ska driva handelsrörelse och annan därmed förenlig verksamhet.,1932-05-30,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556040-0706,O D Profile AB,O D Profile AB,46499,,46499; 85510,SJÄLEVAD,89431,GOTTNEVÄGEN 47,"Bolaget skall bedriva handel med present- och reklamartiklar, möbler samt köpa, hyra ut och sälja maskiner företrädesvis inom träindustrin, fordon samt data- och kopieringsutrustning, idka handel med värdepapper och därmed förenlig verksamhet.",1941-03-31,active,,,https://www.profilonline.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/profilonline/sj%C3%A4levad/lcgsydelc | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,frida.jonth@odprofile.se,,profilonline.se,,,,,,
556028-1064,CB Gedda AB,C.B. Gedda AB,46160,,46160; 68203,HALLSTAHAMMAR,73440,ÅSVÄGEN 11,Bolaget skall driva handel och agenturverksamhet inom textilbranschen samt handel med och förvaltning av värdepapper och fastigheter.,1929-07-20,active,,,http://cbgedda.se/contact/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/c.b.+gedda+ab/hallstahammar/imnqxxfl | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,+46 31 81 30 10,cbgedda.se,https://cbgedda.se,static,no,,,
556032-8543,Hedbergs Bil Aktiebolag,Hedbergs Bil Aktiebolag,47811,,47811; 95311; 47820; 95312,MALMÖ,20211,BOX 50123,"Bolaget skall bedriva handel med motorfordon, reparationsverksamhet av motorfordon, idka handel med värdepapper samt därmed förenlig verksamhet.",1934-02-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556014-3256,AB NA Svensson,AB NA Svensson,47521,,47521; 47522; 47523,NYKÖPING,61129,BOX 1014,"Föremålet för bolagets verksamhet är att driva handel med järn-, färg- och bygghandelsvaror, maskiner anknutna till nämnda branscher samt äga och förvalta värdepapper och fast egendom ävensom driva annan därmed förenlig verksamhet.",1917-04-13,active,,,https://nasvensson.woody.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ab-na-svensson/nyk%C3%B6ping/angueakq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,huddinge@nasvensson.se; info@nasvensson.se,,nasvensson.woody.se,https://www.nasvensson.se/om-oss,browser,yes,cart; product_cards; priced_cards; sampled_1; sample_pdp_1; sample_addtocart_1,main@https://www.nasvensson.se/:hasCart(uiPhrase) | main@https://www.nasvensson.se/:pricedCards(multiPrices) | main@https://www.nasvensson.se/:productCards(68) | DECISION@main@https://www.nasvensson.se/ | contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice:hasCart(uiPhrase) | contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice:samplingRan(sampled=1) | sampleURL@https://nasvensson.woody.se/products/hus-bygg:status=200:PDP+ATC | DECISION@sample (confirmed) | DECISION@contact_like@https://www.nasvensson.se/tjanster/sag--och-hyvleriservice | contact_like@https://www.nasvensson.se/om-oss:hasCart(uiPhrase),
556037-6633,Regab Reglerarmatur Aktiebolag,Regab Reglerarmatur Aktiebolag,46842,,46842,HISINGS BACKA,42246,IMPORTGATAN 2,Bolaget skall bedriva import och försäljning av teknisk armatur och till VVS området hörande utrustning jämte därmed förenlig verksamhet.,1938-10-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556035-8110,Aktiebolaget Anders Jansson & Söner,Aktiebolaget Anders Jansson & Söner,47551,,47551,HAGFORS,68330,KÖPMANGATAN 7,"Bolaget skall driva försäljning av möbler, mattor och gardiner, ävensom idka därmed förenlig verksamhet.",1937-01-27,active,,,https://www.mobelmastarna.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/janssons+m%C3%B6bler/hagfors/korzalln | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,jansson.mobler@telia.com,+4656310253,mobelmastarna.se,,,,,,
556004-5378,AB Stenströms Skjortfabrik,AB Stenströms Skjortfabrik,46420,,46420,HELSINGBORG,25457,REGEMENTSVÄGEN 1,"Bolaget ska designa, tillverka och marknadsföra herr- och damkonfektion, samt bedriva därmed förenlig verksamhet.",1902-01-07,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556019-0216,Ehnimbs handelsaktiebolag,Ehnimbs handelsaktiebolag,46160,,46160; 46120,LUND,22358,SÖDRA VÄGEN 15,Bolaget skall bedriva handel med lasthanteringsmaterial inom indurstri och sjöfart ävensom idka därmed förenlig verksamhet.,1920-07-31,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556034-4755,TeknoVit Aktiebolag,TeknoVit Aktiebolag,46210,,46210; 52260,VÄNERSBORG,46238,INDUSTRIGATAN 9,"Bolaget skall direkt eller indirekt genom dotterbolag bedriva tillverkning och försäljning av foderprodukter, äga och förvalta aktier samt därmed förenlig verksamhet.",1935-09-16,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556033-5464,Färg och Tapet i Helsingborg Aktiebolag,Färg och Tapet i Helsingborg Aktiebolag,47523,,47523; 47789,HELSINGBORG,25442,ÄNGELHOLMSVÄGEN 10,Bolaget skall idka handel inom färg- och kemikaliebranscherna samt utöva därmed förenlig verksamhet.,1934-11-07,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556024-5804,KOBIA Aktiebolag,KOBIA Aktiebolag,46360,,46360; 10820; 10710,TYRESÖ,13529,Box 322,"Bolaget skall idka tillverkning av och handel med förnödenheter för bageri-, konditori- och restaurangbranschen samt storhushåll ävensom därmed sammanhängande verksamhet.",1926-01-18,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556024-8303,Storbutiken i Nyköping AB,Storbutiken i Nyköping AB,47112,,47112,NYKÖPING,61104,BOX 4008,Bolaget skall bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,1926-04-19,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556021-1624,Gösta Samuelsson Bil Aktiebolag,Gösta Samuelsson Bil Aktiebolag,47811,,47811; 47820,BORLÄNGE,78194,SUNNANÖ 141,"Bolaget skall bedriva försäljning och uthyrning av motorfordon, försäljning av reservdelar och tillbehör, verkstadsrörelse samt därmed förenlig verksamhet.",1922-10-11,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556007-3537,J.M:s Allköp Aktiebolag,J.M:s Allköp Aktiebolag,47112,,47112,KALMAR,39470,DÖRBYVÄGEN 3,Bolaget skall som medlem i ICA-förbundet bedriva detaljhandelsrörelse med dagligvaror och därmed förenlig verksamhet.,1907-03-11,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
