orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug
559261-9372,Bensin och Biluthyrning Tjörnbron AB,Bensin och Biluthyrning Tjörnbron AB,47.3,Detaljhandel med drivmedel,"Detaljhandel med drivmedel; Detaljhandel med reservdelar och tillbehör till motorfordon; Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad",Västra Götaland,Stenungsund,Stenungsund,444 30,Göteborgsvägen 26,15000000,2025,sweet_spot,true,6,ACTIVE,,,,https://hitta-bensinstation.se,https://www.allabolag.se/foretag/bensin-och-biluthyrning-tjornbron-ab/stenungsund/-/5592619372,mojeek,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:14 | mojeek_picked:hitta-bensinstation.se(score=14)
559452-4513,SF&AYA AB,SF&AYA AB,47.8,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad","Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad; Detaljhandel med reservdelar och tillbehör till motorfordon; Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar",Stockholm,Stockholm,Bromma,167 32,Ulvsundavägen 71,15000000,2024,sweet_spot,true,5,ACTIVE,,,,,https://www.allabolag.se/foretag/sfochaya-ab/stockholm/-/5594524513,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_candidates:58 | brave_no_name_match | ddg_candidates:10 | ddg_no_name_match
556827-4350,Sanus Glutenfri AB,Sanus Glutenfri AB,47.1,Diverse övrig stödverksamhet till företag,"Diverse övrig stödverksamhet till företag; Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad",Skåne,Eslöv,Marieholm,241 71,Lagmansgatan 31,14999000,2025,sweet_spot,true,9,ACTIVE,,,,https://www.sanusglutenfri.se,https://www.allabolag.se/foretag/sanus-glutenfri-ab/eslov/-/5568274350,mojeek,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_picked:sanusglutenfri.se(score=22)
559300-4889,Svala AB,Svala AB,47.6,Detaljhandel med tidningar,Detaljhandel med tidningar,Stockholm,Stockholm,Stockholm,104 25,Box 30185,14999000,2024,sweet_spot,true,6,ACTIVE,,,,https://sval-ab.se,https://www.allabolag.se/foretag/svala-ab/stockholm/-/5593004889,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:32 | mojeek_no_name_match | brave_candidates:59 | brave_picked:sval-ab.se(score=22)
556529-0771,Arkblad Fastigheter AB,Arkblad Fastigheter AB,47.3,Detaljhandel med drivmedel,Detaljhandel med drivmedel; Uthyrning och förvaltning av egna eller arrenderade bostäder,Västra Götaland,Alingsås,Alingsås,441 39,Bygdevägen 15,14996000,2025,sweet_spot,true,3,ACTIVE,,,,http://www.arkbladfastigheter.se/,https://www.allabolag.se/foretag/arkblad-fastigheter-ab/alingsas/-/5565290771,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/arkblad+fastigheter+ab/alings%C3%A5s/mqxzhanq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
559256-6508,ÖB Bilar AB,ÖB Bilar AB,47.8,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon,Örebro,Örebro,Örebro,703 74,Boglundsgatan 3,14995000,2025,sweet_spot,true,3,ACTIVE,,,,https://obbilar.se,https://www.allabolag.se/foretag/ob-bilar-ab/orebro/-/5592566508,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | brave_candidates:59 | brave_picked:obbilar.se(score=22)
556948-3117,Riopool AB,Riopool AB,47.5,Detaljhandel med virke och byggvaror,Detaljhandel med virke och byggvaror,Stockholm,Haninge,Jordbro,136 50,Dåntorpsvägen 26 Port B:8,14993000,2024,sweet_spot,true,2,ACTIVE,,,,https://riopool.se,https://www.allabolag.se/foretag/riopool-ab/haninge/-/5569483117,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:24 | mojeek_no_name_match | brave_candidates:59 | brave_picked:riopool.se(score=22)
559223-8124,RZAG AB,RZAG AB,47.6,Detaljhandel med tidningar,Detaljhandel med tidningar; Spel- och vadhållningsverksamhet,Dalarna,Ludvika,Ludvika,771 33,Tunnelgatan 2,14993000,2024,sweet_spot,true,1-4,ACTIVE,,,,https://www.rzag.se,https://www.allabolag.se/foretag/rzag-ab/ludvika/-/5592238124,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_candidates:60 | brave_picked:rzag.se(score=22)
556536-0822,IBEROBOT Svenska AB,IBEROBOT Svenska AB,46.6,Partihandel med verktygsmaskiner,Partihandel med verktygsmaskiner,Västernorrland,Timrå,Timrå,861 36,Terminalvägen 13,14993000,2024,sweet_spot,true,7,ACTIVE,,,,https://iberobot.se,https://www.allabolag.se/foretag/iberobot-svenska-ab/timra/-/5565360822,brave,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_failed:HTTP 403 for https://www.mojeek.com/search?q=IBEROBOT%20Svenska%20AB%20hemsida | brave_candidates:64 | brave_picked:iberobot.se(score=14)
556876-9516,HockeyPractice Sweden AB,HockeyPractice Sweden AB,46.1,Provisionshandel med annat specialsortiment utom motorfordon,"Provisionshandel med annat specialsortiment utom motorfordon; Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar; Tillverkning av sportartiklar; Detaljhandel via internet eller postorder med sport- och fritidsartiklar; Drift av sporthallar, idrottsplatser och andra sportanläggningar",Jämtland,Östersund,Östersund,831 52,Nifsåsvägen 11 b,14990000,2025,sweet_spot,true,6,ACTIVE,,,,https://www.hockeypractice.se,https://www.allabolag.se/foretag/hockeypractice-sweden-ab/ostersund/-/5568769516,brave,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_candidates:52 | brave_picked:hockeypractice.se(score=14)
