orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556453-9293,Sturup Airport Hotel i Svedala Aktiebolag,Sturup Airport Hotel i Svedala Aktiebolag,55.1,Hotellverksamhet med restaurangrörelse,Hotellverksamhet med restaurangrörelse,Skåne,Svedala,Malmö-Sturup,230 32,Sturup Flygplats,14970000,2024,sweet_spot,true,16,ACTIVE,,,,,https://www.allabolag.se/foretag/sturup-airport-hotel-i-svedala-aktiebolag/svedala/-/5564539293
556645-6728,Långbergets Sporthotell AB,Långbergets Sporthotell AB,55.1,Hotellverksamhet med restaurangrörelse,Hotellverksamhet med restaurangrörelse; Diverse övrig tillverkning,Värmland,Torsby,Sysslebäck,680 60,Hotellvägen 1,14965000,2025,sweet_spot,true,14,ACTIVE,,,,,https://www.allabolag.se/foretag/langbergets-sporthotell-ab/torsby/-/5566456728
556323-0373,Sita von Essen Restaurang AB,Sita von Essen Restaurang AB,55.1,Restaurangverksamhet,Restaurangverksamhet; Drift av konferensanläggningar med boende; Drift av personalmatsalar,Stockholm,Stockholm,Stockholm,111 28,Riddarhustorget 10 Bv,14964000,2025,sweet_spot,true,7,ACTIVE,,,,,https://www.allabolag.se/foretag/sita-von-essen-restaurang-ab/stockholm/-/5563230373
556627-6019,Ludvika Stadshotell AB,Ludvika Stadshotell AB,55.1,Hotellverksamhet utan restaurangrörelse,Hotellverksamhet utan restaurangrörelse,Dalarna,Ludvika,Ludvika,771 30,Carlavägen 7,14964000,2025,sweet_spot,true,10,ACTIVE,,,,,https://www.allabolag.se/foretag/ludvika-stadshotell-ab/ludvika/-/5566276019
556286-3638,DML Produktion & logistik AB,DML Produktion & logistik AB,52.1,Magasinering och varulagring,Magasinering och varulagring; Metallegoarbeten,Jönköping,Värnamo,Värnamo,331 53,Bokåkravägen 1,14953000,2024,sweet_spot,true,10,ACTIVE,,,,,https://www.allabolag.se/foretag/dml-produktion-och-logistik-ab/varnamo/-/5562863638
556678-0853,Bageri Passion AB,Bageri Passion AB,10.7,Restaurangverksamhet,Restaurangverksamhet; Tillverkning av mjukt matbröd och färska bakverk,Stockholm,Sundbyberg,Sundbyberg,172 65,Landsvägen 45,14952000,2024,sweet_spot,true,14,ACTIVE,,,,,https://www.allabolag.se/foretag/bageri-passion-ab/sundbyberg/-/5566780853
556747-8739,Åhus Golfkrog AB,Åhus Golfkrog AB,56.1,Restaurangverksamhet,Restaurangverksamhet; Cateringverksamhet vid enskilda evenemang,Skåne,Kristianstad,Åhus,296 35,Kavrövägen 29,14952000,2024,sweet_spot,true,16,ACTIVE,,,,,https://www.allabolag.se/foretag/ahus-golfkrog-ab/kristianstad/-/5567478739
556738-7302,S:t E Maritime & Shipping AB,S:t E Maritime & Shipping AB,52.2,Annan stödverksamhet avseende transport,Annan stödverksamhet avseende transport,Stockholm,Stockholm,Stockholm,114 60,Narvavägen 29,14946000,2024,sweet_spot,true,5,ACTIVE,,,,,https://www.allabolag.se/foretag/s-t-e-maritime-och-shipping-ab/stockholm/-/5567387302
556191-4713,Trollhättans Terminal Aktiebolag,Trollhättans Terminal Aktiebolag,52.2,Stödverksamhet avseende sjötransport,Stödverksamhet avseende sjötransport,Västra Götaland,Trollhättan,Trollhättan,461 38,Södra Hamnvägen 8,14924000,2024,sweet_spot,true,2,ACTIVE,,,,,https://www.allabolag.se/foretag/trollhattans-terminal-aktiebolag/trollhattan/-/5561914713
556834-3635,maprojektab AB,maprojektab AB,70.2,Konsultverksamhet avseende företags organisation,Konsultverksamhet avseende företags organisation,Stockholm,Värmdö,Ingarö,134 60,Pastor Ödmans Väg 50,14922000,2025,sweet_spot,true,3,ACTIVE,,,,,https://www.allabolag.se/foretag/maprojektab-ab/varmdo/-/5568343635
559481-9368,Vinden Operations AB,Vinden Operations AB,49.4 | 52.1,Magasinering och varulagring,"Magasinering och varulagring; Vägtransport, godstrafik",Stockholm,Stockholm,Stockholm,113 35,Karlbergsvägen 84 a,14921000,2024,sweet_spot,true,12,ACTIVE,,,,,https://www.allabolag.se/foretag/vinden-operations-ab/stockholm/-/5594819368
556607-1014,Enterprodukter AB,Enterprodukter AB,52.1,Partihandel med glas och porslin samt rengöringsmedel,Partihandel med glas och porslin samt rengöringsmedel; Magasinering och varulagring,Skåne,Malmö,Malmö,215 34,Hyllie Allé 15 Bv,14920000,2024,sweet_spot,true,8,ACTIVE,,,,,https://www.allabolag.se/foretag/enterprodukter-ab/malmo/-/5566071014
556810-5323,Ådalstransport Logistic AB,Ådalstransport Logistic AB,49.4 | 52.2 | 52.1,"Vägtransport, godstrafik","Vägtransport, godstrafik; Magasinering och varulagring; Övrig godshantering",Västernorrland,Härnösand,Härnösand,871 91,Lägdom Södra 135,14902000,2024,sweet_spot,true,8,ACTIVE,,,,,https://www.allabolag.se/foretag/adalstransport-logistic-ab/harnosand/-/5568105323
556276-6294,Årsta Golf Aktiebolag,Årsta Golf Aktiebolag,69.2 | 70.2,Drift av golfbanor,Drift av golfbanor; Redovisning och bokföring; skatterådgivning; Konsultverksamhet avseende företags organisation,Uppsala,Enköping,Enköping,749 44,Gullhavrevägen 4,14895000,2024,sweet_spot,true,6,ACTIVE,,,,,https://www.allabolag.se/foretag/arsta-golf-aktiebolag/enkoping/-/5562766294
556735-1274,Yxhult Miljö AB,Yxhult Miljö AB,71.1,Teknisk konsultverksamhet inom bygg- och anläggningsteknik,Teknisk konsultverksamhet inom bygg- och anläggningsteknik; Värme- och sanitetsarbeten,Örebro,Örebro,Örebro,703 39,Norra Strandgatan 3,14890000,2024,sweet_spot,true,0,ACTIVE,,,,,https://www.allabolag.se/foretag/yxhult-miljo-ab/orebro/-/5567351274
556520-9078,Ålaryd Industries AB,Ålaryd Industries AB,31.0,Tillverkning av andra möbler och madrasser,Tillverkning av andra möbler och madrasser; Tillverkning av kontors- och butiksmöbler; Tillverkning av kontors- och butiksinredningar,Jönköping,Vaggeryd,Skillingaryd,568 30,Smålandsgatan 20,14870000,2025,sweet_spot,true,7,ACTIVE,,,,,https://www.allabolag.se/foretag/alaryd-industries-ab/vaggeryd/-/5565209078
556705-3854,Packing Kungsör AB,Packing Kungsör AB,52.1 | 82.9,Magasinering och varulagring,Magasinering och varulagring; Tillverkning av wellpapp och wellpappförpackningar; Förpackningsverksamhet,Västmanland,Kungsör,Kungsör,736 36,Fabriksgatan 5,14859000,2024,sweet_spot,true,12,ACTIVE,,,,,https://www.allabolag.se/foretag/packing-kungsor-ab/kungsor/-/5567053854
