domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
exqvisita.com,,,,,https://exqvisita.com,browser,no,,,net::ERR_CONNECTION_CLOSED at https://exqvisita.com | method:browser
emba.nu,,,,,https://emba.nu,browser,no,,,net::ERR_NAME_NOT_RESOLVED at https://emba.nu | method:browser
ottobygg.se,Byggnadsfirman Otto Magnusson Aktiebolag,,info@ottobygg.se,+46 40 620 65 00,https://ottobygg.se,browser,no,product_cards; sampled_3; sample_addtocart_3,main@https://www.ottobygg.se/:productCards(22) | main@https://www.ottobygg.se/:samplingRan(sampled=3) | sampleURL@https://ottobygg.se/entreprenad/:status=200:ATC | sampleURL@https://ottobygg.se/entreprenad/pagaende-projekt/:status=200:ATC | sampleURL@https://ottobygg.se/entreprenad/genomforda-projekt/:status=200:ATC,
,CGC Aktiebolag,556023-3610,,,,,,,,
wilsonutveckling.se,Wilson Utveckling AB,,info@wilsonutveckling.se,+46 73 684 32 35,https://wilsonutveckling.se,static,no,,,
wasaexpressakeriab.wordpress.com,Wasa Express & Åkeri AB,,,,https://wasaexpressakeriab.wordpress.com,static,no,,,
,Aktiebolaget Trollhättans Fjärr-Gods,556031-9245,,,,,,,,
,Stockholms Trävaruaktiebolag,556033-7742,,,,,,,,
adapt.se,,,viking@adapt.se; victor@adapt.se; julia.engstrom@adapt.se,+46 8 410 708 00; +46 31 757 57 00; +46 13 12 24 20,https://adapt.se/en/service/3d-visualization/,browser,no,sampled_3; sample_addtocart_3; product_cards,main@https://adapt.se/:samplingRan(sampled=3) | sampleURL@https://adapt.se/service-area/production/:status=200:ATC | sampleURL@https://adapt.se/service-area/production/event-production/studios/:status=200:ATC | sampleURL@https://adapt.se/service/3d-visualization/:status=200:ATC | contact_like@https://adapt.se/contact/:productCards(4),
kendrill.se,,556037-0719,bjorn.edmundsson@kendrill.se; mikael.nylander@kendrill.se; joel.kothnig@kendrill.se,+46 8 88 04 45; +46 31 88 04 02,https://kendrill.se/kontakt,browser,no,sampled_3; sample_addtocart_3,main@https://kendrill.se/:samplingRan(sampled=3) | sampleURL@https://kendrill.se/hyra:status=200:ATC | sampleURL@https://kendrill.se/kopa:status=200:ATC | sampleURL@https://kendrill.se/produkter/darda-wida-ab-c20-t4:status=200:ATC,
,Aktiebolaget Carl Francke,556027-4754,,,,,,,,
jale.se,JALE AB,,bokning@jale.se; ransson@jale.se; johan.goranssong@jale.se,+46 250 165 20; +46 70 166 49 26,https://jale.se,static,no,,,
ansell.com,ANSELL LTD,,,,https://www.ansell.com/contact-us,browser,no,product_cards; sampled_3,main@https://www.ansell.com/int/en:productCards(10) | main@https://www.ansell.com/int/en:samplingRan(sampled=3) | sampleURL@https://ansell.com/int/en/brands/hyflex:status=200 | sampleURL@https://ansell.com/int/en/glove-finder/rabs-and-isolator-gloves?filter=Material.eq.nitrile:status=200 | sampleURL@https://ansell.com/-/media/projects/ansell/website/pdf/sustainability/ansells-sustainability-highlights-2024.ashx?rev=e9cc33fdb7a54736955b2de4be2c7d77&sc_lang=en:status=200,
,HSB Produktion Aktiebolag,556016-0789,,,,,,,,
revolt.se,Copying content strictly prohibited - Revolt Powercharge Nordic AB,,,+46 10 161 46 00,https://www.revolt.se,static,no,,,
,N.P. Ringström Aktiebolag,556028-4753,,,,,,,,
,Henry Dunkers Förvaltningsaktiebolag,556037-1477,,,,,,,,
anjawe.se,,,ann-christine@anjawe.se,+46 70 697 55 28,https://anjawe.se/om-oss,browser,no,checkout,main@https://anjawe.se/:hasCheckout(uiPhrase),
,Skärpet Förvaltnings Aktiebolag,556047-6235,,,,,,,,
allsquaregolf.com,,,,,https://allsquaregolf.com,browser,no,sampled_3,,Protocol error (Runtime.callFunctionOn): Target closed | method:browser
,Lindskog & Gyllström Aktiebolag,556032-7131,,,,,,,,
,Aras II Aktiebolag,556016-9103,,,,,,,,
,Älmhults Trafik o Taxi Aktiebolag,556022-5236,,,,,,,,
,Bröderna Kollbergs Grävmaskiner Aktiebolag,556021-0121,,,,,,,,
,Investment Aktiebolaget Svalnäs,556035-0224,,,,,,,,
,Brunkvist Kvalitets- och Målerikonsult AB,556021-4941,,,,,,,,
,E.ON Sverige Aktiebolag,556006-8420,,,,,,,,
,BJC Fastighetsutveckling AB,556014-7802,,,,,,,,
,Skånska Energi Aktiebolag,556013-6391,,,,,,,,
carlhanssons.se,,,,,https://carlhanssons.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Canst Consult AB,556033-4954,,,,,,,,
,Th. Sack Aktiebolag,556020-6129,,,,,,,,
,Elektriska aktiebolaget Polen,556024-1886,,,,,,,,
,Aktiebolaget Storstockholms Lokaltrafik,556013-0683,,,,,,,,
,UPPENT Upplands Entreprenadmaskiner AB,556014-4585,,,,,,,,
,Förvaltnings Aktiebolaget Wasatornet,556039-6219,,,,,,,,
,Rexam Aktiebolag,556003-4844,,,,,,,,
arvet.se,,,,,https://arvet.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,Tetra Pak Processing Systems Aktiebolag,556022-1078,,,,,,,,
,Zychem Technologies AB,556018-6537,,,,,,,,
,Höganäs Hamnbyggnads Aktiebolag,556000-8301,,,,,,,,
,ERIKSSON FORM AB,556023-3602,,,,,,,,
,Lemacon Aktiebolag,556037-7060,,,,,,,,
,KANAB Fastigheter Aktiebolag,556023-6514,,,,,,,,
,NCC International Aktiebolag,556033-5100,,,,,,,,
,RMM Byggplåt Lars Rosendahl Aktiebolag,556039-4685,,,,,,,,
,Volvo Group Real Estate Aktiebolag,556006-8313,,,,,,,,
,D'point Moderna Media AB,556013-5294,,,,,,,,
,Convensia Revision EPn AB,556032-0664,,,,,,,,
,Scancem Central Africa Holding 1 AB,556036-8572,,,,,,,,
dagsnasslott.se,,,,,https://dagsnasslott.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,R-evolution AB,556016-3049,,,,,,,,
,Artek Företagskonsult Aktiebolag,556039-7514,,,,,,,,
,Heidelberg Materials Sweden AB,556000-6057,,,,,,,,
skoogs.se,,,,,https://skoogs.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,"HUAB, Haglund Entreprenad i Uppsala AB",556035-0851,,,,,,,,
,Aktiebolaget N. Lewinsky,556011-1386,,,,,,,,
,Interpublic Group Sweden AB,556028-7061,,,,,,,,
,Telefonaktiebolaget LM Ericsson,556016-0680,,,,,,,,
,Erna Gruppen AB,556024-5812,,,,,,,,
,Optimal Marketing (OMAB) Aktiebolag,556026-2338,,,,,,,,
,Pefa Konsult Aktiebolag,556025-8146,,,,,,,,
,Puttes Garage & Åkeri Aktiebolag,556035-7906,,,,,,,,
,Bengtssons Tidnings Aktiebolag,556031-2356,,,,,,,,
,Aurubis Sweden AB,556030-2480,,,,,,,,
,LKAB Malmtrafik AB,556031-4808,,,,,,,,
,Sandvik Aktiebolag,556000-3468,,,,,,,,
,Roger Bergman Konsult AB,556024-2082,,,,,,,,
jonssonsentreprenad.se,,,,,https://jonssonsentreprenad.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
,A Blomquist AB,556031-1358,,,,,,,,
,Cavemo AB,556038-4744,,,,,,,,
,Frejs Konsulter AB,556015-6316,,,,,,,,
,Axel Arwidsson Aktiebolag,556039-0006,,,,,,,,
,Viskans Fastighetsaktiebolag,556031-0590,,,,,,,,
,Redovisningstekniska Byrån i Malmö Aktiebolag,556036-8895,,,,,,,,
,Svenska Kvarnföreningens Service Aktiebolag,556027-9175,,,,,,,,
,Bröderna Anderssons Åkeri i Ryssby Aktiebolag,556040-0011,,,,,,,,
,Arvid Lindman Aktiebolag,556034-3047,,,,,,,,
,Skatte- och Ekonomiredovisning i Umeå Aktiebolag,556014-7778,,,,,,,,
,AWN Consultera AB,556042-0662,,,,,,,,
wolleniusinvest.se,,,,,https://wolleniusinvest.se,browser,no,,,Attempted to use detached Frame 'ED353FE85F5F1696025093BBADA1E9B7'. | method:browser
