orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556418-3696,Elge Måleri i Stockholm Aktiebolag,Elge Måleri i Stockholm Aktiebolag,41000,,41000,SOLNA,17167,ANKDAMMSGATAN 19,Bolaget skall bedriva måleriverksamhet samt idka därmed förenlig verksamhet.,1991-03-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556419-4487,RAER AB,RAER AB,70200,,70200,LIDINGÖ,18156,ÖRNVÄGEN 2,Bolaget skall bedriva förvaltning och handel med aktier och andelar och därmed förenlig verksamhet.,1991-02-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556424-7020,Torsten Kullberg Holding AB,Torsten Kullberg Holding AB,69201,,69201; 69202,MALMÖ,21138,SÖDRA PROMENADEN 57,Bolaget skall bedriva revisions- och redovisningsverksamhet samt därmed förenlig verksamhet.,1991-04-18,active,,,https://tonnerviksmalmo.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/crowe+t%C3%B6nnerviks+redovisning+ab/malm%C3%B6/nrzjkqvfh | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556453-9749,Köksmontage Gruppen i Huddinge Aktiebolag,Köksmontage Gruppen i Huddinge Aktiebolag,43320,,43320; 43210,HUDDINGE,14141,SNÄTTRINGELEDEN 11,"Föremålet för bolagets verksamhet är försäljning och installation av hushållskapitalvaror, äga och förvalta lös och fast egendom och därmed förenlig verksamhet.",1992-09-18,active,,,https://www.koksmontagegruppen.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/k%C3%B6ksmontage+gruppen+i+huddinge+ab/huddinge/inruvxem | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556417-7359,INWEBA Aktiebolag,INWEBA Aktiebolag,43210,,43210,INGARÖ,13466,LAGERBÄCKSVÄGEN 1,"Bolaget skall bedriva försäljning, byggnation, installation och service av datanät, företagsledning, friskvård, samt handel med fast egendom och värdepapper ävensom idka därmed förenlig verk- samhet.",1991-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556417-7755,Zamas People AB,Zamas People AB,70200,,70200,STOCKHOLM,11822,BRÄNNKYRKAGATAN 24,"Bolaget skall bedriva konsult- och kursverksamhet inom områdena för marknadsföring, reklam, informationsteknologi, friskvård, utveckling av mänskliga resurser.",1991-01-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556396-8816,Alf Perssons Rör Aktiebolag,Alf Perssons Rör Aktiebolag,43221,,43221,HÖÖR,24332,VERKSTADSGATAN 6,Bolaget skall idka handel och installationsrörelse inom VVS ävensom idka därmed förenlig verksamhet.,1990-05-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556397-2446,Nordström Kelly Arkitekter AB,Nordström Kelly Arkitekter AB,71110,,71110; 74130,ASKIM,43645,ÅSSTIGEN 14,Aktiebolaget ska bedriva arkitektkontor samt därmed förenlig verksamhet.,1990-05-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556423-1727,Västberga Ventilationsservice Aktiebolag,Västberga Ventilationsservice Aktiebolag,43222,,43222,HÄGERSTEN,12630,VÄSTBERGAVÄGEN 25,Bolaget skall utföra ventilationsarbeten samt idka därmed förenlig verksamhet.,1991-03-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556399-8722,Mornington Hotel Group AB,Mornington Hotel Group AB,70100,,70100,STOCKHOLM,10388,BOX 7156,Bolaget har till föremål för sin verksamhet att bedriva konsultverksamhet inom hotell- och restaurangverksamhet samt fastighetsförvaltning.,1990-08-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
