orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556399-9217,Agri Support choz AB,Agri Support choz AB,70200,,70200,KLAGSTORP,23197,SIMRISDALSVÄGEN 272-0,"Bolaget ska äga och förvalta fast och lös egendom, bedriva handel med värdepapper, idka handel med varor med ursprung från skogs-, verkstads-, kemi-, livsmedels-, läkemedels-, textil- och elektronikindustri, bedriva fastighetsförmedling samt konsultverksamhet och rådgivning inom ekonomi och juridik, marknadsföring, ledarskap och utbildning, utföra arrendesyn enligt jordabalken, samt därmed förenlig verksamhet.",1990-07-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556425-5841,Schillström & Son Måleri AB,Schillström & Son Måleri AB,43341,,43341,STOCKHOLM,12061,HAMMARBY ALLÉ 40,Bolaget skall bedriva verksamhet med måleriarbeten samt idka därmed förenlig verksamhet.,1991-05-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556352-0161,Three men in a boat AB,Three men in a boat AB,43210,,43210,SOLNA,16970,HAGA TRÄDGÅRD,"Aktiebolagets verksamhet ska vara att bedriva teknisk konsultverksamhet inom bygg-, anläggning- och VA-teknik, bedriva företagsutveckling, förvaltning av aktier samt därmed förenlig verksamhet.",1989-02-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556348-5605,Dimell Ingenjörsbyrå Aktiebolag,Dimell Ingenjörsbyrå Aktiebolag,71124,,71124,NORRKÖPING,60011,BOX 11102,"Bolaget skall bedriva konsultverksamhet inom VVS-branschen, samt bedriva hårvård samt därmed förenlig verksamhet.",1989-01-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556367-1675,Sörviks Måleri Aktiebolag,Sörviks Måleri Aktiebolag,43341,,43341,STRÖMSUND,83395,SÖRVIK 185,"Bolaget skall bedriva målerirörelse, inköp, renovering och försäljning av möbler, handel med antikviteter och därmed förenlig verksamhet.",1989-08-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556355-9615,Gunnar Allered El Aktiebolag,Gunnar Allered El Aktiebolag,43210,,43210,GÖTEBORG,41834,BRÄNNOLJEGATAN 22,Bolaget skall bedriva installationer och service inom elbranschen ävensom idka därmed förenlig verksamhet.,1989-05-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556277-3761,Aktiebolaget Proxibo,Aktiebolaget Proxibo,70200,,70200; 62201,BÅTSKÄRSNÄS,95295,SIGURDSUDDEVÄGEN 3,"Bolaget skall bedriva köp och försäljning av värdepapper, konsultverksamhet inom ekonomistyrning och dess tilämpning inom data ävensom idka därmed förenlig verksamhet.",1986-05-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556372-0720,"Zetagraf, Janlinder & Zetterholm Konsult Aktiebolag","Zetagraf, Janlinder & Zetterholm Konsult Aktiebolag",71200,,71200; 85330,SANDVIKEN,81132,HEMGATAN 12,"Aktiebolaget ska bedriva konsultverksamhet inom företagsledning och företagsutveckling samt teknisk konsultverksamhet inom området för inre och yttre miljö genom att utföra funktionskontroller av ventilsation (OVK), energideklarationer och utredningar inom klimat- och energiområdet. Bolaget ska vidare bedriva utbildning för teknisk personal inom fastighets- och energibranschen.",1989-09-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556347-1308,Hantverkshuset Östermalm AB,Hantverkshuset Östermalm Aktiebolag,43320,,43320; 43341,UPPLANDS VÄSBY,19443,JUPITERVÄGEN 8 E,"Bolaget skall utgöras av inredning, renovering av fastigheter och lokaler samt därmed förenlig verksamhet.",1989-02-13,active,,,http://hantverkshuset.se/,,hitta_orgnr,high,davidj@hantverkshuset.se; maria@hantverkshuset.se,+46 70 796 02 33,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hantverkshuset+%C3%B6stermalm+ab/upplands+v%C3%A4sby/joppyecq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hantverkshuset.se,https://hantverkshuset.se,static,no,,,
556279-0047,Profectus Management Aktiebolag,Profectus Management Aktiebolag,69201,,69201,LIDINGÖ,18131,ASTREAVÄGEN 4,"Bolaget skall bedriva utbildnings- och konsultverksamhet avseende redovisning samt handel med industriförnödenheter, jakt och fritidsartiklar.",1986-06-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556360-6606,Aktiv Juridik AB,Aktiv Juridik AB,69102,,69102,STOCKHOLM,10386,BOX 7024,Bolaget skall bedriva juridik- och ekonomitjänster samt därmed förenlig verksamhet.,1989-05-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556378-3348,Göran Dahl Consulting AB,Göran Dahl Consulting AB,70200,,70200; 68201,SKANÖR,23930,ÖSTERGATAN 39 B,"Bolaget ska bedriva konsultverksamhet med huvudinriktning mot konverterings och pappersindustrin. Bolaget ska bedriva handel med och förvaltning av värdepapper, äga och förvlata fast och lös egendom samt därmed förenlig verksamhet.",1989-11-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
