orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556500-2721,Complett Holding AB,Complett Holding AB,70200,,70200,MÖLNDAL,43133,MÖBELGATAN 5,"Bolaget skall bedriva ekonomisk konsultation, holding verksamhet, handel med värdepapper, förvaltning och uthyrning av fastigheter samt därmed förenlig verksamhet.",1994-12-14,active,,,,
556504-5365,2 Fast 4 U Transport AB,2 Fast 4 U Transport AB,49410,,49410,VALDEMARSVIK,61532,SKYTTEVÄGEN 11,"Bolagets verksamhet är transporter, åkeri, byggnadsarbeten, förvaltning av fastigheter och därmed förenlig verksamhet.",1995-01-11,active,,,,
556492-1020,Idékupan Aktiebolag,Idékupan Aktiebolag,69201,,69201,HÄSSELBY,16572,BRÄNDÖVÄGEN 50,Bolaget skall utföra redovisningsuppdrag och konsultuppdrag inom redovisning samt idka därmed förenlig verksamhet.,1994-08-25,active,,,,
556512-0457,Majornas Buss AB,Majornas Buss AB,49310,,49310,GÖTEBORG,41879,TERMINALVÄGEN 5,Bolaget skall bedriva verksamhet med persontransporter och andra transporter samt även utföra beställningstrafik. Konsultverksamhet inom trafiklogistik samt därmed förenlig verksamhet.,1995-04-11,active,,,,
556520-8112,MJ Ställningsbyggarna i Ljusne AB,MJ Ställningsbyggarna i Ljusne AB,43999,,43999,LJUSNE,82613,BOX 54,"Bolaget skall utföra ställningsarbeten, uthyrning av byggnads- ställningar samt hyra ut personal under kortare tid i anslutning härtill. Bolaget skall dessutom handla med värdepapper och fastigheter ävensom idka därmed förenlig verksamhet.",1995-07-18,active,,,,
556527-1839,M3 Fastigheter AB,M3 Fastigheter AB,42110,,42110,GRÄNGESBERG,77230,KOPPARBERGSVÄGEN 47,"Bolaget skall bedriva uthyrning av lokaler, snöröjning, mark- och anläggningsarbeten samt därmed förenlig verksamhet.",1995-11-08,active,,,,
556515-8176,Sandå Umeå AB,Sandå Umeå AB,43341,,"43341; 43330",DANDERYD,18217,BOX 732,Bolaget skall bedriva målerirörelse samt idka därmed förenlig verksamhet.,1995-08-07,active,,,,
556521-6875,Idevi Consult och Teknik AB,Idevi Consult och Teknik AB,71122,,71122,VÄSTERÅS,72590,FULLERÖ STRAND 14,"Bolaget skall bedriva marknadsföring och handel med byggindstrin samt miljöprodukter såsom ergonomiska och tekniska hjälpmedel inom byggnadsindustrin, service transporter, entreprenader och produktutveckling i samband med ovanstående samt konsultation inom byggnadsindustrin, köp och försäljning av nya och begagnade möbler, renovering av möbler, kursverksamhet inom möbelrenovering och därmed förenlig verksamhet.",1995-07-20,active,,,,
556521-8095,Dahl Polymers AB,Dahl Polymers AB,71121,,71121,STENUNGSUND,44454,JAN IVARSSONS VÄG 6,"Bolaget skall bedriva tillverkning, handel, licensiering, konsultationsverksamhet inom området plast och gummi, utveckling och försäljning av sportutrustning och spelsystem för idrottsturneringar ävensom idka därmed förenlig verksamhet.",1995-07-20,active,,,,
556515-8739,Installationssamordnaren Tomas Palmgren ITP AB,Installationssamordnaren Tomas Palmgren ITP AB,71121,,71121,LIDINGÖ,18136,BODALSVÄGEN 45,"Bolaget skall bedriva teknisk konsultation inom byggnadsteknik, äga och förvalta fast egendom samt därmed förenlig verksamhet.",1995-09-05,active,,,,
556503-3296,PoW Transport Aktiebolag,PoW Transport Aktiebolag,49410,,49410,ALINGSÅS,44195,FÄRGENVÄGEN 3,Bolaget skall bedriva åkerirörelse samt äga och förvalta fast egendom och lös egendom såsom aktier och andra värdepapper.,1995-02-09,active,,,,
556523-6196,EkonomiCenter i Uppsala AB,EkonomiCenter i Uppsala AB,69201,,69201,STOCKHOLM,10248,BOX 5814,Bolaget skall bedriva redovisnings- och bolagsbildningsverksamhet samt konsultverksamhet och utbildning inom området och därmed förenlig verksamhet.,1995-07-26,active,,,,
556517-1658,Söndrums Golv AB,Söndrums Golv AB,43330,,43330,HAVERDAL,30571,SMEAVÄGEN 33,Bolaget skall bedriva försäljning och inläggning av golv- och väggbeklädnader samt därmed förenlig verksamhet.,1995-09-16,active,,,,
556502-9187,Reiner Bergmans Bygg Aktiebolag,Reiner Bergmans Bygg Aktiebolag,41000,,41000,GÖTEBORG,40096,BOX 9252,"Bolaget skall bedriva byggrörelse, direkt eller via dotterbolag samt därmed förenlig verksamhet.",1994-12-27,active,,,,
556524-7144,Tuzell AB,Tuzell AB,70200,,"70200; 82300; 64994",ÖSTERSUND,83143,HÄSTHAGSVÄGEN 6,"Föremålet för bolagets verksamhet är konsultverksamhet inom väg och transportsektorn, marknadsföringstjänser och fastighets- förvaltning. Arrangera ledarskapsutbildningar, evenemang och personalaktiviteter samt övrig försäljning av tjänster och produkter inom sport och fritidsbranschen, rallyverksamhet, äga och förvalta värdepapper och därmed förenlig verksamhet.",1995-07-31,active,,,,
556524-7243,Catherine Berlin AB,Catherine Berlin AB,70200,,"70200; 90110; 69101",MALMÖ,21619,BOKTRYCKAREGATAN 11 A,"Bolagets har till föremål för sin verksamhet att tillhandahålla konsulttjänster samt ge ut böcker inom kommunikation, utbildning och juridik samt därmed förenlig verksamhet.",1995-07-31,active,,,,
556525-8752,Leif Åkessons Elteknik Aktiebolag,Leif Åkessons Elteknik Aktiebolag,71123,,71123,ÖREBRO,70222,DROTTNINGGATAN 40 A LGH 1402,Bolaget skall bedriva projektering och besiktning av elanläggingar samt därmed förenlig verksamhet.,1995-09-29,active,,,,
556518-8892,Anders Wall Byggnads AB,Anders Wall Byggnads AB,41000,,"41000; 43999; 91300",GRYCKSBO,79020,HOLLÄNDARVÄGEN 13,"Bolaget skall bedriva byggnadsverksamhet, fastighetsförvaltning, handel med värdepapper ävensom idka därmed förenlig verksamhet.",1995-07-12,active,,,,
556519-1656,Ivars & Co på Hammarö AB,Ivars & Co på Hammarö AB,70200,,70200,KARLSTAD,65340,VÅXNÄSGATAN 3,"Bolaget skall direkt eller genom dotterbolag inom och utom Sverige idka verksamhet med konsultationer avseende företagsledning, ekonomi och administration, förvaltning av värdepapper samt fastigheter, förvaltning, leasing och finansiering av fast och lös egendom, factoring och rebelåning av fakturor, kontrakt, skuldsedlar och värdepapper, handel med bilar, båtar och maskiner företrädesvis entreprenadmaskiner, grafisk utrustning, kontorsutrustning ävensom tillbehör till sådana produkter, byggnads-, åkeri-, rederi- och speditionsverksamhet, fordons- och maskinuthyrning, företrädesvis entreprenadmaskiner, grafisk utrustning, kontorsutrustning ävensom agentur och konsultverksamhet med sådana produkter, finansiering vid företagsöverlåtelser, lagerfinansiering, import- och exportfinansiering ävensom idka därmed förenlig verksamhet.",1995-07-12,active,,,,
556505-5661,Lucky Look Aktiebolag,Lucky Look Aktiebolag,69201,,69201,LERUM,44331,FRÖDINGSVÄGEN 4,"Föremålet för bolagets verksamhet skall vara att bedriva ång- och hetvattenförsörjning, vidare äga, förvalta och handla med tävlingshästar, värdepapper och fastigheter samt idka därmed förenlig verksamhet.",1995-01-19,active,,,,
556507-6865,Sexdrega Företagscenter AB,Sexdrega Företagscenter AB,71122,,"71122; 68202",APLARED,51696,LOFTSDAL 1,Bolaget ska bedriva fastighetsförvaltning och fastighetsutveckling samt därmed förenlig verksamhet.,1995-01-12,active,,,,
556530-1537,Ekonomen i Norrbotten AB,Ekonomen i Norrbotten AB,69201,,"69201; 64994",PITEÅ,94162,HAMNGATAN 47  LGH 1504,Aktiebolaget ska bedriva redovisningsbyrå och kapitalförvaltning därmed förenlig verksamhet.,1996-03-05,active,,,,
556521-8616,Christinehamn Instrument & Process Control AB,Christinehamn Instrument & Process Control AB,71123,,71123,KARLSTAD,65223,STAGNELLSGATAN 5,"Bolaget ska bedriva konstruktion, tillverkning, försäljning och konsultation inom styr-, regler- och mätteknik samt därmed förenlig verksamhet.",1995-07-20,active,,,,
556519-8412,TechROi Scandinavia AB,TechROi Scandinavia AB,71122,,71122,TROLLHÄTTAN,46138,FLYGFÄLTSVÄGEN 7,"Bolaget skall bedriva teknisk konsultverksamhet inom fordons- industrin och dess underleverantörer, CADCAM-konstruktion samt därmed förenlig verksamhet.",1995-07-13,active,,,,
556520-8674,Carlesons Ventilationsteknik AB,Carlesons Ventilationsteknik AB,43222,,43222,LIMHAMN,21622,RUDBECKSGATAN 63,"Bolaget skall bedriva service, reparation och underhåll av ventilationsanläggningar ävensom idka därmed förenlig verksamhet.",1995-07-18,active,,,,
556267-3730,Kristian Lindgren Arkitektkontor Aktiebolag,Kristian Lindgren Arkitektkontor Aktiebolag,71121,,71121,STOCKHOLM,11224,PARMMÄTARGATAN 5,Bolaget skall bedriva konsultativ verksamhet inom byggbranschen idka förenlig verksamhet.,1985-11-20,active,,,,
556520-7643,adoco Aktiebolag,adoco Aktiebolag,70200,,"70200; 85510",FRÖVI,71891,FILLMANSBODA 330,"Bolaget skall bedriva konsultverksamhet inom företrädesvis försäljning, marknadsföring, företagsledning och därmed förenlig verksamhet.",1995-07-18,active,,,,
556478-1960,Haninge Plattsättningar Aktiebolag,Haninge Plattsättningar Aktiebolag,43330,,"43330; 49330",SALTSJÖ-BOO,13248,TALLUDDSVÄGEN 7 D PLATTSÄTTNINGAR AB,Bolaget skall bedriva Bygg & Plattsättning samt fastighetsservice ävensom idka därmed förenlig verksamhet.,1993-12-01,active,,,,
556331-7493,Star Engineering AB,Star Engineering AB,71122,,"71122; 71124",BORÅS,50336,ARLAGATAN 12 B,Föremålet för bolagets verksamhet är teknisk konsultverksamhet inom energiområdet och kemiska processer jämte därmed förenlig verksamhet.,1988-10-11,active,,,,
556334-1212,Rickardsson Bygg AB,Rickardsson Bygg AB,41000,,41000,OSBY,28336,FORSGATAN 1,Bolaget skall bedriva byggnadsrörelse och fastighetsförvaltning samt därmed förenlig verksamhet.,1988-09-19,active,,,,
556489-3351,PMS PEAK Market System Aktiebolag,PMS PEAK Market System Aktiebolag,41000,,"41000; 62201; 93290",BÅLSTA,74691,BYVÄGEN 7,"Bolaget skall bedriva tävlingsverksamhet, avel, uppfödning och försäljning av travhästar och därmed förenlig verksamhet.",1994-07-05,active,,,,
556466-1188,Priority Service AB,Priority Service AB,70200,,"70200; 64994; 68203",VÄDDÖ,76421,BOX 36,"Bolaget ska bedriva konsultverksamhet inom affär- och servicesystem, äga och förvalta aktier och andra finansiella instrument samt fastigheter jämte därmed förenlig verksamhet.",1993-04-28,active,,,,
556484-0220,Hillary Step AB,Hillary Step AB,41000,,"41000; 68320",STOCKHOLM,11427,UGGELVIKSGATAN 13,Fastighetsförvaltning och handel med värdepapper. Bolaget skall ej driva sådan verksamhet som avses i lag om bankrörelse eller lag om kreditrörelse. Handel med fordon.,1994-03-17,active,,,,
556477-5996,Pann & Rörjouren i Enskede Aktiebolag,Pann & Rörjouren i Enskede Aktiebolag,43221,,43221,SALTSJÖ-BOO,13239,SERGELVÄGEN 34,"Bolaget skall bedriva VVS och rörarbeten, samt därmed förenlig verksamhet.",1993-12-13,active,,,,
556495-5960,Portfolio Sweden Aktiebolag,Portfolio Sweden Aktiebolag,70200,,70200,STOCKHOLM,11430,ERIKSBERGSGATAN 18,"Bolaget skall bedriva bokförsäljning och konsultverksamhet inom området textilekonomi. Ämnet textilekonomi beskriver gången från affärsidé - affärsstrategier via branschanpassade kunskaper i företagsekonomi till inköps-, lager- och butiksekonomi. Allt sett i sitt branschsammanhang och med ekonomiska förtecken.",1994-10-26,active,,,,
556495-6224,Barup & Edström Arkitektkontor AB,Barup & Edström Arkitektkontor AB,71110,,71110,SIMRISHAMN,27231,SKANSGATAN 20,"Bolaget skall äga och förvalta aktier och andelar, utföra arkitekttjänster samt bedriva därmed förenlig verksamhet.",1994-10-04,active,,,,
556605-9670,Brixand AB,Brixand AB,69201,,69201,KALMAR,39477,BOCKBERGS VÄG 9,Förvaltning av värdepapper samt därmed förenlig verksamhet.,2001-01-30,active,,,,
556593-6779,SWETEC Swedish Technology AB,SWETEC Swedish Technology AB,71121,,71121,MALMÖ,21143,SÖDRA FÖRSTADSGATAN 36 B,"Bolaget skall bedriva konsultverkamhet huvudsakligen inom teknik, betongteknik och företagsutveckling, förvalta lös egendom, köpa och sälja värdepapper samt med dessa verksamheter förenliga verksamheter.",2000-07-06,active,,,,
556589-4861,Adacus Consulting AB,Adacus Consulting AB,71122,,"71122; 68310; 71124",KARLSKRONA,37142,HISINGS VÄG 6,"Aktiebolaget skall bedriva konsult-, utbildning-, utveckling- och ledar-verksamhet inom verkstad-, bygg-, och processindustrin. Digital marknadsföring samt säkerhets verksamhet. Bedriva fastighetsförvaltning, handel med värdepapper, handel, import och export med sjukvård-, medicintekniska produkter samt förlagsverksamhet.",2000-05-02,active,,,,
556608-7119,Centrumplåt i Örebro AB,Centrumplåt i Örebro AB,43411,,43411,ÖREBRO,70232,IDROTTSVÄGEN 29,Bolaget skall bedriva byggnadsplåtslageri samt därmed förenlig verksamhet.,2001-04-05,active,,,,
556435-1566,Svennerstål & Partners AB,Svennerstål & Partners AB,70200,,70200,STOCKHOLM,11432,VILLAGATAN 22 A,"Aktiebolagets verksamhet ska vara att utveckla koncept och bedriva konsulting inom ledarskapsområdet och utvecklar därtill hästgårds- och konferenskoncept, koncept inom reklam och konst, idkar handel med värdepapper, äga och förvalta fast egendom samt därmed förenlig verksamhet.",1991-12-20,active,,,,
556435-4180,Ekonomihuset Färingsö AB,Ekonomihuset Färingsö AB,69201,,69201,STENHAMRA,17961,VALLVIKSVÄGEN 107,Bolaget skall driva konsultverksamhet inom ekonomi och bokföring och därmed förenlig verksamhet.,1991-10-28,active,,,,
556599-4745,Acapela Group Sweden AB,Acapela Group Sweden AB,71123,,71123,STOCKHOLM,11550,LÖJTNANTSGATAN 25,"Föremålet för bolagets verksamhet är att med inriktning på marknaden för medelstora företag, tillhandahålla tjänster inom områdena för tele- och datakommunikation samt tillhandahålla informations- tjänster baserad på sådan kommunikation, bedriva handel med varor inom dessa områden och bedriva därmed förenlig verksamhet samt förvalta fast egendom.",2000-10-27,active,,,,
556610-8899,Ensolution AB,Ensolution AB,70200,,70200,HALMSTAD,30243,STORGATAN 31,Bolaget skall utföra tjänster inom managementconsulting samt inom därtill relaterade IT- och programvarulösningar ävensom idka därmed förenlig verksamhet.,2001-05-04,active,,,,
