orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556289-9582,INDUTRADE LIFE SCIENCE AB,INDUTRADE LIFE SCIENCE AB,70200,,70200,KISTA,16406,BOX 6042,"Bolaget skall förvärva, förädla och förvalta aktier i dotterbolag som har sin verksamhet inom handel av bl.a. industri-, bygg- och infrastrukturprodukter samt medicinteknik.",1987-01-27,active,,,,
556282-7617,Mittbuss Aktiebolag,Mittbuss Aktiebolag,49310,,49310,NORDINGRÅ,87398,VALLENVÄGEN 45,"Bolaget skall inom intresseområdet för yrkesmässiga person- transporter och därmed förenade godstransporter bedriva, -inköp, försäljning av tjänster och andra förnödenheter som produceras eller används av företag inom intresseområdet, -trafikplanering -ekonomisk rådgivning och förvaltning, -fastighets- och värdepappersförvaltning samt -därmed förenlig verksamhet.",1986-09-18,active,,,,
556293-7838,CAD- Axelsson Aktiebolag,CAD- Axelsson Aktiebolag,71122,,71122,JÖNKÖPING,55338,SÖDERGATAN 13,"Bolaget skall bedriva konsulterande inom ritnings- och konstruktionsarbeten, mekanisk service och därtill hörande verksamhet.",1987-03-12,active,,,,
556295-5673,Knut Jönson Ingenjörsbyrå i Uppsala Aktiebolag,Knut Jönson Ingenjörsbyrå i Uppsala Aktiebolag,71121,,71121,SOLLENTUNA,19140,SOLLENTUNAVÄGEN 67,Bolaget skall bedriva konsulterande verksamhet inom byggnadsindustrin samt idka därmed förenlig verksamhet.,1987-04-24,active,,,,
556296-8932,Varis Måleri Aktiebolag,Varis Måleri Aktiebolag,43341,,43341,GÖTEBORG,41705,HILDEDALSGATAN 18,"Bolaget skall bedriva verksamhet med allt inom måleribranschen, även sprutmålning, försäljning av måleriprodukter, uthyrning av redskap samt handel, förvaltning av fastigheter och värdepapper och därmed förenlig verksamhet.",1987-04-22,active,,,,
556288-5565,LNP Industrier Aktiebolag,LNP Industrier Aktiebolag,70200,,70200; 68310,STOCKHOLM,11522,KARLAVÄGEN 97  LGH 1401,"Bolagets ska bedriva handel med hem- och bilelektronik, leasing av fordon och kapitalvaror, konsultation avseende management och marknadsföring, äga och förvalta fastigheter samt andelar i fastighetsförvaltande bolag och därmed förenlig verksamhet.",1987-01-13,active,,,,
556267-9513,Rävlanda Måleri Aktiebolag,Rävlanda Måleri Aktiebolag,43341,,43341,LANDVETTER,43834,LEDSÄNGSVÄGEN 9,Bolaget skall utföra måleriarbeten och detaljförsäljning av måleriprodukter och därmed förenlig verksamhet.,1985-11-29,active,,,,
556276-1881,ÅS Plåtslageri AB,ÅS Plåtslageri AB,43411,,43411,TIMRÅ,86191,VÄSTRA LAGGARBERGSVÄGEN 65,"Bolagets verksamhet ska vara att bedriva byggnadsplåtslageri, handel med aktier och värdepapper, förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",1986-04-22,active,,,,
556287-4965,Swedish BA AB,Swedish BA AB,69201,,69201; 66220,VÄSTERÅS,72482,LOGPORTSVÄGEN 11,"Bolaget skall ägna sig åt konsultverksamhet inom ekonomi, administration, ge stöd och råd åt företag och organisationer samt entreprenörer och riskkapitalister i frågor som rör bolagens kapitalförsörjning, strategier, organisationsform och ledning samt därtill närliggande områden.  Lokalvård och övriga hushållsnära tjänster.",1986-11-17,active,,,,
556290-2113,LGM Elservice Aktiebolag,LGM Elservice Aktiebolag,43210,,43210,KUNGÄLV,44290,BERGKLINTEN 8,"Bolaget skall utföra reparationer, service, nyinstallationer samt bedriva försäljning av elmateriel ävensom idka därmed förenlig verksamhet.",1987-01-08,active,,,,
556290-2915,Issjö Service AB,Issjö Service AB,43320,,43320; 43910,SOLLENTUNA,19139,TEGELHAGSVÄGEN 41,Bolaget bedriver verksamhet inom bygg och anläggning och därmed förenlig verksamhet.,1987-01-30,active,,,,
556322-1133,Carl Felix AssistansAssist AB,Carl Felix AssistansAssist AB,70200,,70200,HAMMARÖ,66391,TENNGÅRDSVÄGEN 416,"Bolaget ska ge råd i frågor rörande personlig assistans, ge råd i LSS-frågor, föreläsningar samt därmed förenlig verksamhet.",1988-03-23,active,,,,
556285-4801,Martin Scholz Consulting AB,Martin Scholz Consulting AB,71121,,71121; 96990; 68203,SPÅNGA,16351,SPÅNGA TORGVÄG 5,"Bolagets verksamhet ska vara projektledning inom renovering och förvaltning av fastigheter, konsultationer inom marknadsföring och reklam samt idka därmed förenlig verksamhet.",1986-10-16,active,,,,
556286-9437,Lindströms Åkeri i Sandviken Aktiebolag,Lindströms Åkeri i Sandviken Aktiebolag,49410,,49410,GÄVLE,80647,KULLSANDSVÄGEN 10,Bolaget skall bedriva transport och entreprenader inom åkeri- rörelsen samt äga fastigheter och värdepapper ävensom idka därmed förenlig verksamhet.,1986-11-07,active,,,,
556306-8328,Åke Enkvist Åkeri Aktiebolag,Åke Enkvist Åkeri Aktiebolag,49410,,49410,VÄNNÄS,91134,GÖRANSVÄGEN 33,Bolaget skall utföra bil och traktortransporter av grus och timmer ävensom idka därmed förenlig verksamhet.,1987-09-28,active,,,,
556298-0960,Potentor Aktiebolag,Potentor Aktiebolag,70200,,70200; 64994; 93191; 01430; 93290,BROTTBY,18697,SOLBACKA,"Bolaget skall äga och förvalta aktier och värdepapper samt bedriva konsultverksamhet i marknadsföring och organisation samt bedriva stalluthyrning, träning och uppfödning av hästar och därmed förenlig verksamhet.",1987-05-11,active,,,,
