orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556298-6603,Favvan Aktiebolag,Favvan Aktiebolag,47112,,"47112; 47522",ÅKERSBERGA,18460,MUSKÖTVÄGEN 28,"Bolaget skall bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet. Dessutom järnhandel samt handel med petroleumprodukter, ävensom idka därmed förenlig verksamhet. Förvaltning av och handel med värdepapper, för en begränsad och sluten krets av ägare.",1987-07-10,active,,,,
556491-3142,Magnus Bengtsson i Bollnäs Aktiebolag,Magnus Bengtsson i Bollnäs Aktiebolag,46501,,"46501; 62201; 62202; 33120; 62900",BOLLNÄS,82140,STAGÅRDSGRÄND 7,"Aktiebolaget ska driva verksamhet med inköp och försäljning av kontorsartiklar, redovisningsverksamhet, konsultationer och rådgivning i samband med företagsstart, skatter och ekonomistyrning, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1994-08-11,active,,,,
556266-8698,P A Hydraulservice Aktiebolag,P A Hydraulservice Aktiebolag,46860,,46860,GÄLLIVARE,98238,OLJEVÄGEN 11,"Bolaget skall bedriva försäljning och service av hydrauldetaljer, reparationer av tunga fordon och maskiner samt uthyrning och försäljning av truckar och verktyg och därmed förenlig verksamhet.",1985-10-25,active,,,,
556288-0871,Baroness Design Aktiebolag,Baroness Design Aktiebolag,46499,,46499,ÄLMHULT,34334,VAKTGATAN 8,"Bolaget skall bedriva grossist- och detaljförsäljning av produkter för heminredning och inredning och dekoration av offentlig miljö samt import och export i anslutning härtill, ävensom idka därmed förenlig verksamhet.",1986-11-25,active,,,,
556543-4866,mr Baby & Lek AB,mr Baby & Lek AB,47641,,47641,LULEÅ,97346,BANVÄGEN 25,Bolaget ska bedriva försäljning av leksaker och andra barn- och babyartiklar samt därmed förenlig verksamhet.,1997-07-07,active,,,,
556453-1118,Barteknik i Linköping AB,Barteknik i Linköping AB,47272,,"47272; 47260",LINKÖPING,58234,VÄSTRA VÄGEN 7 A,"Föremålet för bolagets verksamhet är försäljning, uthyrning och utställning av automatmaskiner, försäljning, import och export av barartiklar, vin- och ölsatser, konsulttjänster inom diskoteksbranschen, förvaltning av fast och lös egendom och därmed förenlig verksamhet.",1992-10-08,active,,,,
556539-2775,Olov Wågberg Elservice Aktiebolag,Olov Wågberg Elservice Aktiebolag,47552,,"47552; 81100",ÖRNSKÖLDSVIK,89145,NYGATAN 55,"Bolaget skall köpa och sälja elinstallationsmaterial, belysnings- armaturer, utföra elinstallationer, utföra fastighetsskötsel, äga och förvalta fastigheter, förvalta och bedriva handel med värdepapper ävensom bedriva därmed förenlig verksamhet.",1997-02-17,active,,,,
556532-2418,Bröderna Pellinen Livs AB,Bröderna Pellinen Livs AB,47112,,47112,HELSINGBORG,25426,BLÅKULLAGATAN 3,Föremålet för bolagets verksamhet är som medlem i ICA-förbundet bedriva handel med dagligvaror och därmed förenlig verksamhet.,1996-06-04,active,,,,
556465-9497,Network Innovation NI Aktiebolag,Network Innovation NI Aktiebolag,46501,,46501,NACKA STRAND,13127,BOX 1182,"Bolaget ska bedriva import- och exportverksamhet med maskinvara, programvara och tillbehör inom databranschen, utbildnings- och konsultverksamhet i samma bransch, äga och förvalta fast egendom och värdepapper jämte därmed förenlig verksamhet.",1993-04-27,active,,,,
556543-6069,Strongarm AB,Strongarm AB,47711,,"47711; 47712",STOCKHOLM,10241,BOX 5035,Bolaget skall handla med konfektion främst med inriktning på detaljhandel samt idka därmed förenlig verksamhet.,1997-07-28,active,,,,
556537-3692,Kertic International Aktiebolag,Kertic International Aktiebolag,46380,,46380,HÄGERSTEN,12955,GAMLA SÖDERTÄLJEVÄGEN 1 A 2TR,Aktiebolaget ska bedriva en handelsrörelse omfattande import och export avseende livsmedel och därmed förenlig verksamhet.,1997-01-17,active,,,,
556538-9649,Wall & Westford Aktiebolag,Wall & Westford Aktiebolag,47551,,"47551; 66190",TYRESÖ,13568,BOFINKSVÄGEN 31,"Bolaget ska bedriva konsultverksamhet, bemanning och utbildning inom detaljhandeln mode, sport, fritid, möbler och med dess förenlig verksamhet. Bolaget bedriver även affärs och företagsutveckling inom aktiebolag och föreningar inom idrottsrörelsen ishockey.",1997-02-26,active,,,,
556544-5276,Vårby Gård Livs Aktiebolag,Vårby Gård Livs Aktiebolag,47112,,47112,VÅRBY,14303,VÅRBY ALLÉ 22,Bolaget ska bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,1997-07-16,active,,,,
556523-0629,Delta of Sweden Aktiebolag,Delta of Sweden Aktiebolag,46499,,46499,HALMSTAD,30262,GJUTAREGATAN 10 C,"Bolaget skall bedriva tillverkning och försäljning av produkter för pedagog-, hobby- och leksaksmarknaden med försäljning uteslutande på export samt därmed förenlig verksamhet.",1995-08-31,active,,,,
556532-3788,Lexner-Jonsson Rid Aktiebolag,Lexner-Jonsson Rid Aktiebolag,47631,,47631,ALLERUM,25476,LOTTENLUNDSVÄGEN 12,"Aktiebolagets verksamhet ska vara att driva handel med utrustning för hästsport, uthyrning av stallplatser, försäljning och träning av hästar samt därmed förenlig verksamhet.",1996-06-24,active,,,,
556536-7447,E.M.S. International AB,E.M.S. International AB,46649,,"46649; 69201",ÅHUS,29691,RIPAVÄGEN 79,"Bolaget skall bedriva marknadsföring av och handel med pumpar och pumptillbehör, bedriva redovisningsarbete samt därmed förenlig verksamhet.",1996-12-27,active,,,,
556514-9530,Kjell Gunnarsson AB,Kjell Gunnarsson AB,47112,,47112,MARIESTAD,54223,BOX 302,Bolaget har till föremål för sin verksamhet att som medlem i ICA- förbundet bedriva detaljhandelsrörelse med dagligvaror och därmed förenlig verksamhet.,1995-06-20,active,,,,
556267-1957,Tores Allköp Aktiebolag,Tores Allköp Aktiebolag,47112,,47112,SKIVARP,27450,LANDSVÄGEN 33,"Bolaget har till föremål för sin verksamhet att som medlem i ICA Förbundet bedriva detaljhandelsrörelse med dagligvaror och annan därmed förenlig verksamhet, samt även hud- och kroppsvård såsom SPA-behandling och solarium.",1985-11-08,active,,,,
556536-1010,Mapei AB,Mapei AB,46831,,46831,BROMMA,16867,ULVSUNDAVÄGEN 108 B,Föremål för bolagets verksamhet är att bedriva produktion och försäljning av material inom byggbranschen och därmed förenlig verksamhet.,1996-11-13,active,,,,
556528-3677,SWEDX AB,SWEDX AB,46503,,"46503; 47402",SPÅNGA,16353,FAGERSTAGATAN 9  1TR,Bolaget skall bedriva tillverkning och handel med platta dataskärmar och platta TV-skärmar med kabinett av äkta timmer samt handel med värdepapper jämte annan därmed förenlig verksamhet.,1995-12-29,active,,,,
556533-7432,Tuvancenter AB,Tuvancenter AB,47112,,"47112; 92000",MORA,79292,TÄPPVÄGEN 5,"Bolaget skall bedriva försäljning av tidningar, tobak, konfekty- rer och livsmedel, samt spelverksamhet ävensom idka därmed fören- lig verksamhet.",1996-09-17,active,,,,
556536-0434,Melanders Fisk Aktiebolag,Melanders Fisk Aktiebolag,46380,,"46380; 69201",STOCKHOLM,10215,BOX 55682,Bolaget skall bedriva restaurantrörelse smat detalj- och partihandel med livsmedel och därmed förenlig verksamhet.,1997-01-07,active,,,,
556537-3361,Albert & Herbert Överskott i Hudiksvall AB,Albert & Herbert Överskott i Hudiksvall AB,47122,,"47122; 47711",HUDIKSVALL,82493,ÖSTANBRÄCKSVÄGEN 72,"Bolaget skall driva handel med restlagerpartier, konkurslager, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",1996-12-11,active,,,,
556540-1154,Jägers Redovisning & Försäljning AB,Jägers Redovisning & Försäljning AB,47121,,47121,TULLINGE,14636,SKOGSMULLES VÄG 58 B,"Bolaget skall bedriva konsult, redovisning, försäljning och installation av säkerhetsprodukter samt flyttransporter.",1997-04-04,active,,,,
556542-8421,Mia & Nettan's AB,Mia & Nettan's AB,47789,,47789,SVEDALA,23331,STORGATAN 16,"Bolaget skall driva försäljning och självbetjäning av presentartiklar, husgeråd och hygienartiklar.",1997-06-06,active,,,,
556547-8467,Pondus Clothing Company Torp AB,Pondus Clothing Company Torp AB,47711,,47711,UDDEVALLA,45176,TORP 24,"Bolaget skall bedriva handel med konfektionsvaror, äga och förvalta egna fastigheter och värdepapper och därmed förenlig verksamhet.",1997-11-07,active,,,,
556548-7294,Mono Trading Sweden AB,Mono Trading Sweden AB,46720,,46720,ASKIM,43632,SISJÖ KULLEGATA 8,"Föremålet för bolagets verksamhet är att bedriva köp och försäljning av inredningsdetaljer för bil- och möbelindustri samt idka handel med aktier, andelar och värdepapper, ävensom idka därmed förenlig verksamhet.",1997-11-12,active,,,,
556546-0176,Lighthouse Systems Nordic AB,Lighthouse Systems Nordic AB,46501,,46501,KVICKSUND,63531,LILLA SMEDBY 1,Bolaget skall bedriva import och försäljning av programvara avseende kvalitetsmätning till tillverkningsindustrin i Skandinavien samt därmed förenlig verksamhet.,1997-09-23,active,,,,
556266-9894,Jenssen hair supplies AB,Jenssen hair supplies AB,46450,,46450,STOCKHOLM,11636,ERSTAGATAN 24,"Bolaget skall bedriva handel med hårvårdsprodukter, handel med möbler och inredning inom frisörsverksamhet samt därmed förenlig verksamhet.",1985-12-19,active,,,,
556525-6889,Oetterli Marketing Aktiebolag,Oetterli Marketing Aktiebolag,46360,,46360,ÅKERSBERGA,18433,SEVENIUSVÄGEN 37,"Bolaget skall bedriva konsultverksamhet inom marketing, handel och försäljning av varor och tjänster, inom- och utomlands. Handel med choklad- och pastaprodukter och friskvårds- före- läsningar/aktiviteter'/produkter samt därmed förenlig verksamhet.",1995-09-12,active,,,,
556509-4983,I M Gunnarsson Handels Aktiebolag,I M Gunnarsson Handels Aktiebolag,47112,,47112,HAMBURGSUND,45745,UDDEN 1,"Bolaget skall bedriva handelsrörelse inom detaljhandeln avseende järnvaruförsäljning, manufakturförsäljning och livsmedelsförsäljning samt idka därmed förenlig verksamhet.",1995-03-07,active,,,,
556510-8478,Matta i Sandhamn AB,Matta i Sandhamn AB,46471,,46471,SANDHAMN,13039,BOX 259,"Bolaget skall bedriva förvaltning av fast och lös egendom inkluderande varumärkning, patent, mönsterskydd och licenser. Företaget skall bedriva uthyrningsverskamhet av entrémattor samt försäljning av entréprodukter, samt import och försäljning av kläder, heminredning och accessoarer från Indien samt därmed förenlig verksamet.",1995-03-31,active,,,,
556504-3923,Sellukem AB,Sellukem AB,46850,,46850,TÄBY,18362,SJÖFLYGVÄGEN 35 E,"Föremål för bolagets verksamhet är tillverkning och försäljning av kemikaliska produkter, konsultativ verksamhet inom kemi branschen, tillverkning och försäljning av maskiner och utrustning inom kemibranschen och därmed förenlig verksamhet.",1995-01-18,active,,,,
556454-2099,Stål & Verktyg Anno -92 Aktiebolag,Stål & Verktyg Anno -92 Aktiebolag,47522,,47522,VÄXJÖ,35033,BOX 3033,"Bolaget skall idka handelsrörelse inom järn-, stål- och kemikaliebranschen samt utöva därmed förenlig verksamhet.",1992-09-25,active,,,,
556527-1250,Hem Livs i Kungsbacka AB,Hem Livs i Kungsbacka AB,47112,,47112,KUNGSBACKA,43438,KUNGSMÄSSAN,"Bolaget har till föremål för sin verksamhet att bedriva detaljhandelsrörelse med dagligvaror som medlem i ICA-förbundet, handel med värdepapper, fastigheter och annan därmed förenlig verksamhet.",1995-11-03,active,,,,
556540-4851,West Food i Göteborg AB,West Food i Göteborg AB,46390,,46390,GÖTEBORG,41707,RINGÖGATAN 33,Aktiebolaget skall bedriva försäljning av livsmedel och närliggande varor samt därmed förenlig verksamhet. Vidare skall bolaget sälja lager- och logistiktjänster.,1997-03-11,active,,,,
556534-2713,Axelsson Consult i Lammhult Aktiebolag,Axelsson Consult i Lammhult Aktiebolag,47811,,"47811; 95311; 68202",LAMMHULT,36344,VÄRNAMOVÄGEN 40,"Bolaget skall bedriva försäljning av motorfordon, tillverkning och påbyggnad av motorfordon-släp och därmed förenlig verksamhet samt äga och förvalta fast egendom.",1996-10-08,active,,,,
556522-3954,Göran Sjödén Rehab Shop AB,Göran Sjödén Rehab Shop AB,47741,,47741,KUNGÄLV,44240,BULTGATAN 17,Bolaget skall driva handel med handikapphjälpmedel för vardag och fritid samt sjukvårdsartiklar ävensom idka därmed förenlig verksamhet.,1995-07-21,active,,,,
556548-9712,Hansaprint AB,Hansaprint AB,46499,,46499,STOCKHOLM,11156,KUNGSGATAN 37  8 TR,"Bolaget skall driva agenturverksamhet och försäljning av grafiska produkter samt idka därmed förenlig verksamhet. Bolaget ska även - uteslutande för egen räkning - driva investeringsverksamhet genom ägande och förvaltning av fastigheter, aktier, obligationer och andra värdepapper.",1998-03-23,active,,,,
556539-6628,MAGNOR GLASVERK Aktiebolag,MAGNOR GLASVERK Aktiebolag,46440,,46440,STOCKHOLM,10450,BOX 24010,Bolaget skall bedriva tillverkning och försäljning av glasprodukter och idka därmed förenlig verksamhet.,1997-02-20,active,,,,
