orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556655-5487,Kemihuset Sverige AB,Kemihuset Sverige AB,46850,,46850,MALMÖ,21534,HYLLIE ALLÉ 15  BV,Bolaget ska bedriva försäljning av kem-tekniska produkter ävensom idka därmed förenlig verksamhet.,2004-02-03,active,,,,
556403-6480,Torparens Tools AB,Torparens Tools AB,47910,,47910; 47122,SKURUP,27494,TRETUNNLANDSHUSEN 19-0,"Bolaget skall reparera, köpa och sälja bilar samt äga och förvalta fast egendom, importera, försälja och reparera verkstadstillbehör, reparera och underhålla maskiner, utföra redovisning och konsultation, ävensom idka därmed förenlig verksamhet.",1990-08-09,active,,,,
556414-3385,HUSVAGNSCENTER I VALBO Aktiebolag,HUSVAGNSCENTER I VALBO Aktiebolag,47813,,47813,GÄVLE,80293,BAKVRETSGATAN 1,Bolaget skall bedriva handel med husvagnar ävensom idka därmed förenlig verksamhet.,1990-12-20,active,,,,
556666-2440,Peneton AB,Peneton AB,46492,,46492,HÄSSLEHOLM,28133,ÄNGDALAVÄGEN 9 B,"Bolaget ska bedriva försäljning av kontorsmaterial, profilkläder, present- och reklamartiklar och därmed förenlig verksamhet.",2004-09-14,active,,,,
556654-9019,Wiggler AB,Wiggler AB,46491,,46491,STORA HÖGA,44460,BRÅLANDSVÄGEN 13,"Föremålet för bolagets verksamhet är idka export, import, försäljning och tillverkning av fiskeredskap, sport- fritidsartiklar, import och försäljning av båtar samt äga och förvalta fast egendom samt lös egendom inom ovan nämda branscher och därmed förenlig verksamhet.",2004-01-27,active,,,,
556397-0366,by VÅGA sweden AB,by VÅGA sweden AB,46189,,46189; 87991; 69201,HEDEMORA,77632,LÅNGGATAN 16,"Bolaget skall idka import och export av kläder, skinnvaror, accessoarer samt därmed förenlig verksamhet.",1990-06-12,active,,,,
556426-3209,Hans Sjöström Trading Aktiebolag,Hans Sjöström Trading Aktiebolag,46610,,46610; 46630,ÖREBRO,70221,BRICKEBERGSVÄGEN 14,"Bolaget skall uthyra, importera och exportera samt idka handel med entreprenadmaskiner inom gräv-, schakt och byggnadsbranschen, fordon, båtar samt reservdelar i anslutning härtill ävensom idka därmed förenlig verksamhet.",1991-05-14,active,,,,
556623-1592,Ballongskeppet AB,Ballongskeppet AB,46499,,46499,VÄLLINGBY,16265,ÅNGERMANNAGATAN 174,"Aktiebolaget skall bedriva import och export av leksaker, försäljning gross, butik och marknader.",2002-02-08,active,,,,
556625-6540,Foco 17 AB,Foco 17 AB,46831,,46831,FALUN,79173,BERGSMANSGRÄND 20,Bolaget skall förvalta värdepapper och fastigheter och bedriva därmed förenlig verksamhet.,2002-04-02,active,,,,
556625-2317,Älvdalens Sportcenter AB,Älvdalens Sportcenter AB,47631,,47631,ÄLVDALEN,79630,DALGATAN 96,Bolaget ska bedriva handel med sportartiklar och därmed förenlig verksamhet.,2002-04-17,active,,,,
