orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556973-6795,Softcrisis AB,Softcrisis AB,46501,,46501; 47123; 58290; 62100; 59110,ÖSTERSUND,83148,ODENSKOGSVÄGEN 27-29,Bolaget skall bedriva utveckling och försäljning av programvara samt idka därmed förenligt verksamhet. Vidare ska bolaget äga och förvalta såväl fast som lös egendom.,2014-06-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556968-6321,Peter Åberg Möbler & Inredning AB,Peter Åberg Möbler & Inredning AB,47551,,47551,MALMÖ,21772,BELLEVUEVÄGEN 27,Inredningsbutik med försäljning av möbler och inredningsartiklar. Konsulttjänster inom inredning.,2014-04-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556958-6612,TeloGott AB,TeloGott AB,47242,,47242; 56110,ÖSTERSUND,83131,PRÄSTGATAN 40,"Aktiebolaget ska bedriva försäljning av konfektyr, kaffe och te med tillhörande produkter, caféverksamhet och handel med värdepapper jämte därmed förenlig verksamhet.",2014-01-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556942-0762,Life & Taste AB,Life & Taste AB,46340,,46340; 43320; 46390; 46471,MÄRSTA,19522,BOX 64,"Aktiebolaget ska bedriva import & export samt tillverkning av livsmedel. Bolaget ska även importera och sälja möbler, hushållsartiklar och kontorstillbehör samt därmed förenlig verksamhet. Bolaget ska bedriva byggverksamhet samt personaluthyrning inom bygg samt därmed förenlig verksamhet. Bolaget ska även äga och förvalta värdepapper och fast egendom samt därmed förenlig verksamhet.",2013-09-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556962-6061,Vinovum AB,Vinovum AB,46340,,46340,STOCKHOLM,10450,BOX 24094,"Bolaget skall, direkt eller indirekt, bedriva agentur, import, export och handel med vin, sprit, öl, glas och tillbehör och därmed förenlig verksamhet.",2014-02-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556965-1440,Niva Group AB,Niva Group AB,47122,,47122; 74990,HELSINGBORG,25448,LADUGATAN 30,"Föremålet för bolagets verksamhet är investeringar i andra företag, äga och förvalta fastigheter samt ägna sig åt företagskonsultationer och därmed förenlig verksamhet.",2014-03-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556949-7844,Anderssons & Airimans AB,Anderssons & Airimans AB,47112,,47112,SPÅNGA,16346,SPÅNGAVÄGEN 311,Bolaget ska bedriva dagligvaruhandel samt därmed förenlig verksamhet.,2013-11-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556968-3286,Mogabel Food AB,Mogabel Food AB,47112,,47112; 49410,HUDDINGE,14144,ANNERSTAVÄGEN 15,Bolaget har till föremål för sin verksamhet att bedriva dagligvaruhandel partihandel inom livsmedel samt därmed förenlig verksamhet.,2014-04-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556968-4029,Charles Strand Design AB,Charles Strand Design AB,46471,,46471; 31009; 74110,VÄSTRA FRÖLUNDA,42132,J A PRIPPS GATA 2,"Aktiebolaget ska bedriva tillverkning, försäljning, design av möbel- och sängprodukter och därmed förenlig verksamhet.",2014-04-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556923-8545,Åsén då AB,Åsén då AB,46460,,46460,BORLÄNGE,78462,GAMLA LANDSVÄGEN 15,Aktiebolaget ska bedriva konsulttjänster inom apoteksbranschen.,2013-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556960-6204,Euratra AB,Euratra AB,46850,,46850; 46860; 46649,LERUM,44332,OLOFSTORPSVÄGEN 32,"Bolaget ska bedriva import och export av kemiska och petrokemiska material, import och export av experimentell och industriell utrustning såsom utrustning som används i system för förnybar energi, köp och försäljning av verkstadsvaror, såsom varor som används i kemisk petrokemisk industri och system för förnybar energi, import och export av medicinsk utrustning och material samt därmed förenlig verksamhet.",2014-02-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556923-8891,Toffelshoppen Sverige AB,Toffelshoppen Sverige AB,47712,,47712,KULLAVIK,42935,KÄLLARLYCKEVÄGEN 9,Företaget skall bedriva handel med kläder och skor.,2013-02-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556961-1329,DRS solution AB,DRS solution AB,47123,,47123,ÖSTERSUND,83130,KÖPMANGATAN 22 A,Konsult och rådgivning för det digitala avtrycket man lämnar online.,2014-02-06,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_url_found
556962-5907,By Roppen AB,By Roppen AB,47551,,47551,TÄBY,18733,DALVÄGEN 77,Företaget ska bedriva webbhandel butiksverksamhet med trädgårdsmöbler och inredningsdetaljer. Inspirera kunder för att inreda allt från balkongen till den stora altanen.,2014-02-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556973-9872,Cocopanda Sweden AB,Cocopanda Sweden AB,47752,,47752,SOLNA,17141,SVETSARVÄGEN 15  2TR,Aktiebolaget ska bedriva försäljning av hår- och skönhets- produkter till konsumenter via näthandel jämte därmed förenlig verksamhet.,2014-06-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556963-0386,Estrilda Fashion AB,Estrilda Fashion AB,46160,,46160,STOCKHOLM,10243,BOX 5137,"Bolaget har till föremål för sin verksamhet att, direkt eller indirekt, distribuera kläder, skor och väskor förvalta lös och fast egendom, och därmed förenlig verksamhet.",2014-02-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556975-9870,Verissima AB,Verissima AB,46340,,46340; 70200; 46380; 64994,MALMÖ,21125,BAGERSGATAN 2,"Bolaget ska äga och förvalta fast och lös egendom, förvalta dotterbolagsaktier, tillhandahålla koncernledningstjänster samt bedriva därmed förenlig verksamhet. Verksamheten skall även bedriva handel med livsmedel och alkoholhaltiga drycker.",2014-07-01,active,,,http://www.mondolfi.se,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/verissima+ab/stockholm/ffialrsde | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556976-0589,Lease Nordic Partner AB,Lease Nordic Partner AB,46501,,46501; 46499; 47402,MJÖLBY,59552,LAGMANSGATAN 26,"Föremålet för bolagets verksamhet är att bedriva försäljning av data-, IT-, tele- och AV-utrustning, ljus och ljudsystem, kassasystem, butiksdata, butiksinredning, kontorsmaskiner, vending maskiner, service och support samt därmed förenlig verksamhet.",2014-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556976-5034,Snö & Tö AB,Snö & Tö AB,47631,,47631,ROSERSBERG,19596,BERGSHAMRA 514,"Bolaget ska bedriva sportbutik, primärt inom längdskidåkning, samt därmed förenlig verksamhet.",2014-07-02,active,,,http://snoochto.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/sn%C3%B6+och+t%C3%B6+ab/danderyd/fijcmqbja | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556977-0463,Foos Servicehandel AB,Foos Servicehandel AB,47621,,47621,STOCKHOLM,11862,GÖTGATAN 132  /RINGVÄGEN 117,Bolaget ska driva detaljhandel främst i form av kiosk och servicebutik ävensom idka därmed förenlig verksamhet.,2014-07-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556977-2758,Motormästarna Norr AB,Motormästarna Norr AB,47811,,47811; 95311; 52211,VÄLLINGBY,16270,VINSTA SKOLGRÄND 8 A,"Handel med personbilar, lätta motorfordon. Allmän service och reparation av motorfordon. Bärgning av landstransport.",2014-07-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556977-4929,IronWill Real Estate AB,IronWill Real Estate AB,46420,,46420,HELSINGBORG,25440,JOHAN BANÉRS GATA 38,"Bolaget skall bedriva uthyrning och förvaltning av fastigheter, investeringar i fast och lös egendom och därmed förenlig verksamhet.",2014-07-14,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data
