orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556231-6678,Aktiebolaget Linco Fältservice,Aktiebolaget Linco Fältservice,46649,,46649,SALTSJÖBADEN,13336,JAKTVARVSVÄGEN 5,"Bolaget skall idka försäljning, import och export av huvudsakligen batterier och elektronisk utrustning samt därmed förenlig verksamhet.",1983-09-19,active,,,,
556240-9689,Oves Asfalterings Aktiebolag,Oves Asfalterings Aktiebolag,47811,,"47811; 77110; 46630; 77320; 47812",HANDEN,13644,ANLÄGGARVÄGEN 3,Bolaget skall utföra markarbeten samt entreprenadarbeten inom byggnadsbranschen samt idka därmed förenlig verksamhet. Bolaget ska även bedriva konsultverksamhet och utbildning inom företagsekonomi och redovisning samt idka därmed förenlig verksamhet.,1984-03-02,active,,,,
556242-0272,Serco Aktiebolag,Serco Aktiebolag,46189,,"46189; 82100",JÄRFÄLLA,17567,RIKSDALERVÄGEN 7,"Bolagets verksamhet är agent/återförsäljare inom industrielektroteknik och industriell vägning med kompletterande tillverkning i Sverige, samt bedriva skrivbyråverksamhet, ord- och textbehandling med databaserad registerhantering och därmed förenlig verksamhet.",1984-03-27,active,,,,
556254-7538,Darts Aktiebolag,Darts Aktiebolag,46491,,46491,MALMÖ,21124,KOSTERÖGATAN 5,Bolaget skall bedriva grossisthandel med fiskeredskap samt bedriva därmed förenlig verksamhet.,1985-01-14,active,,,,
556242-8689,Anika R Design Aktiebolag,Anika R Design Aktiebolag,47692,,47692,LIDINGÖ,18142,VÄNDSTIGEN 3,"Bolaget skall bedriva handel med konst, möbler och inredningsdetaljer samt inredningskonsultativ verksamhet, ekonomisk och juridisk konsultation samt därmed förenlig verksamhet.",1984-06-13,active,,,,
556254-1747,Vital Kontakt Aktiebolag,Vital Kontakt Aktiebolag,46491,,46491,SOLLEBRUNN,44172,HOLMÄNGSVÄGEN 4  GRÄFSNÄS,"Bolagets verksamhet är att utveckla nya produkter och tjänster inom lotteri-, förströelse-, hälso- och fritidsbranschen samt därmed förenlig verksamhet.",1985-02-05,active,,,,
556255-8071,Claessons Trätjära AB,Claessons Trätjära AB,46831,,46831,GÖTEBORG,41707,STENKOLSGATAN 5,"Bolaget skall bedriva byggkonsultverksamhet, fastighetsförvaltning och handel med aktier och värdepapper samt handel och konsultverksamhet inom byggnadsbranschen och havs- och sjöanknutna branscher som sjöfart, skeppsbyggeri- och varvsverksamhet och fiske, jämte därmed förenlig verksamhet.",1985-02-11,active,,,,
556019-3749,Kodak Nordic Aktiebolag,Kodak Nordic Aktiebolag,46649,,"46649; 46434",KISTA,16446,KRONBORGSGRÄND 19  1 TR,"Föremålet för bolagets verksamhet är att för egen del och/eller för tredje man idka handel (omfattande men inte begränsat till avbetalningsköp), service och produktion för alla sorters produkter avsedda för förtryck, tryckning och för grafikindustrin i allmänhet samt för alla slags produkter inom foto- och filmindustrin liksom maskiner, apparater, instrument, mjukvaror, system, reservdelar, konsumtionsvaror, komponenter och andra produkter som används i samband med de ovan uppräknade produkterna.",1920-12-13,active,,,,
556252-5500,Golvbeläggningar i Åstorp Aktiebolag,Golvbeläggningar i Åstorp Aktiebolag,47551,,"47551; 43330",ÄNGELHOLM,26254,ISHALLSVÄGEN 11,Aktiebolaget ska bedriva verksamhet avseende entreprenad och försäljning av golvmaterial samt därmed förenlig verksamhet.,1984-11-27,active,,,,
556254-1259,Le Mak Energy AB,Le Mak Energy AB,46831,,"46831; 71124",SOLLENTUNA,19270,LÄNSMANSVÄGEN 165,Bolaget skall bedriva konsult och utvecklingsarbete samt försäljning inom energiproduktion och energispar.,1985-01-25,active,,,,
556252-5104,ABLO Aktiebolag,ABLO Aktiebolag,46420,,"46420; 46499; 68203",ANGERED,42469,STORÅS INDUSTRIGATA 10,"Bolaget skall bedriva partihandel med kortvaror, ävensom idka därmed förenlig verksamhet.",1984-11-27,active,,,,
556253-4320,Anritsu AB,Anritsu AB,46502,,46502,KISTA,16426,BOX 1192,Bolaget skall bedriva försäljning och service av mätsystem och elektroniska komponenter och därmed förenlig verksamhet.,1985-08-20,active,,,,
556268-4067,Grebbestad Bilservice Aktiebolag,Grebbestad Bilservice Aktiebolag,47300,,47300,VALLDA,43490,EGNAHEMSVÄGEN 2,"Bolaget skall driva försäljning av bensin, biltillbehör och livsmedel, fastighetsförvaltning samt idka därmed förenlig verksamhet",1985-12-18,active,,,,
556262-6605,Lönnen i Markaryd Aktiebolag,Lönnen i Markaryd Aktiebolag,47711,,"47711; 68110; 47721; 68320",MARKARYD,28522,BOX 75,"Föremålet för bolagets verksamhet är att idka handel inom konfektion och skor, fastighetsförvaltning, köp och försäljning av fastigheter, samt därmed förenlig verksamhet.",1985-10-07,active,,,,
