orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug
556766-6234,Mette Picaut AB,Mette Picaut AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Halland,Kungsbacka,Särö,429 41,Furubergsvägen 3,14802000,2025-12,sweet_spot,true,7,,,,,https://mettepicaut.se,https://www.allabolag.se/foretag/mette-picaut-ab/kungsbacka/-/2K2UEREI63IIB,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:16 | mojeek_no_name_match | brave_candidates:58 | brave_picked:mettepicaut.se(score=22)
559000-8289,Arvika och Årjäng Hemelektronik AB,Arvika och Årjäng Hemelektronik AB,Hemelektronik,"Radio TV, video","Radio TV, video; Detaljhandel",Värmland,Arvika,Arvika,671 31,Västra Torggatan 3 b,14694000,2024-12,sweet_spot,true,13,,057013855,,,https://www.elonljudbild.se/,https://www.allabolag.se/foretag/arvika-och-arjang-hemelektronik-ab/arvika/-/2KG5A01I5YH3M,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/elon-ljud-och-bild-sunne/sunne/apstuhmuv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556836-2163,Gunnebo Trädgård AB,Gunnebo Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Skåne,Skurup,Skivarp,274 51,Landsvägen 9,14647000,2024-12,sweet_spot,true,5,,,,,http://www.gunnebotradgard.com/,https://www.allabolag.se/foretag/gunnebo-tradgard-ab/skurup/-/2K39BQRI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/gunnebo+tr%C3%A4dg%C3%A5rd+ab/skivarp/nrrdimmp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
559155-9629,Åhs Trädgårdsservice AB,Åhs Trädgårdsservice AB,Trädgård,"Markentreprenörer, anläggningsentreprenörer","Markentreprenörer, anläggningsentreprenörer; Entreprenadmaskinsarbeten; Entreprenörer; Byggmästare; Uthyrning",,,Norrköping,605 99,Norrkärrsvägen 6,14523000,2024-12,sweet_spot,true,7,,070-652 99 17,ahs.tradgardsservice@telia.com,https://www.ahstradgardsservice.com,https://www.ahstradgardsservice.com,https://www.allabolag.se/foretag/ahs-tradgardsservice-ab/-/-/2KH2J0TI5YG4F,already_present,,
556505-8574,Mods Graphic Studio AB,Mods Graphic Studio Aktiebolag,Mode,"Designers, formgivare","Designers, formgivare; Tryckerier",Stockholm,Stockholm,Johanneshov,121 62,Livdjursgatan 4,14505000,2025-12,sweet_spot,true,11,,070-143 59 56,hello@mods.se,https://mods.se/,https://mods.se/,https://www.allabolag.se/foretag/mods-graphic-studio-ab/stockholm/-/2K1AIOEI5YCXC,already_present,,
559116-0592,Taj Mahal Beauty AB,Taj Mahal Beauty AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,111 60,Drottninggatan 100,14417000,2024-12,sweet_spot,true,7,,,,,,https://www.allabolag.se/foretag/taj-mahal-beauty-ab/stockholm/-/2KGTZ4GI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:18 | mojeek_no_name_match | brave_candidates:66 | brave_no_name_match | ddg_candidates:10 | ddg_no_name_match
559337-3854,Maskinera AB,Maskinera AB,E-handel,E-handel,Auktioner; E-handel; Detaljhandel; Detaljhandel - annat,Stockholm,Nacka,Stockholm,131 52,Cylindervägen 18,14301000,2025-02,sweet_spot,true,13,,,info@maskinera.se,https://www.maskinera.se/,https://www.maskinera.se/,https://www.allabolag.se/foretag/maskinera-ab/nacka/-/2KI5EVYI5YDVM,already_present,,
559180-7788,Sallakliniken AB,Sallakliniken AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Värmland,Sunne,Sunne,686 30,Älvgatan 40,14256000,2025-09,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/sallakliniken-ab/sunne/-/2KH7UI4I63IHB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | brave_candidates:62 | brave_no_name_match | ddg_candidates:10 | ddg_no_name_match
559389-7878,Novi Medical Solutions AB,Novi Medical Solutions AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 46,Humlegårdsgatan 19 a,14177000,2024-12,sweet_spot,true,5,,,,,https://novimedicalsolutions.se,https://www.allabolag.se/foretag/novi-medical-solutions-ab/stockholm/-/2KIGN86I63IIB,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:18 | mojeek_no_name_match | brave_candidates:59 | brave_picked:novimedicalsolutions.se(score=22)
559222-9446,WE Dental AB,WE Dental AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister; Hudvårdsprodukter",Stockholm,Nacka,Nacka,131 57,Värmdövägen 171,14149000,2025-12,sweet_spot,true,9,,,,,http://www.wedental.se,https://www.allabolag.se/foretag/we-dental-ab/nacka/-/2KHGVUUI63IHB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/we+dental+ab/nacka/lsbjkmgst | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
