orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,domain,email,contact_page,source,is_webshop,webshop_signals,webshop_platform,webshop_debug,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons,debug
556766-6234,Mette Picaut AB,Mette Picaut AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Halland,Kungsbacka,Särö,429 41,Furubergsvägen 3,14802000,2025-12,sweet_spot,true,7,,,,,,https://www.allabolag.se/foretag/mette-picaut-ab/kungsbacka/-/2K2UEREI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:16 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Mette%20Picaut%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556654-6213,Arvika och Årjäng Hemelektronik AB,Arvika och Årjäng Hemelektronik AB,Hemelektronik,"Radio TV, video","Radio TV, video; Detaljhandel",Värmland,Arvika,Arvika,671 31,Västra Torggatan 3 b,14694000,2024-12,sweet_spot,true,13,,+46 10 220 43 00,,,https://www.elonljudbild.se/,https://www.allabolag.se/foretag/arvika-och-arjang-hemelektronik-ab/arvika/-/2KG5A01I5YH3M,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/elon-ljud-och-bild-sunne/sunne/apstuhmuv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,elonljudbild.se,undefined; kundservice@elon.se,https://www.elon.se/om-oss,browser,yes,checkout_provider; cart; checkout; product_cards; provider:magento,magento,main@https://www.elon.se/:hasCheckout(urlPath:/checkout) | main@https://www.elon.se/:hasCart(urlPath:/cart) | main@https://www.elon.se/:providers(magento) | main@https://www.elon.se/:productCards(188) | DECISION@main@https://www.elon.se/ | contact_like@https://www.elon.se/kundtjanst:hasCheckout(urlPath:/checkout) | contact_like@https://www.elon.se/kundtjanst:hasCart(urlPath:/cart) | contact_like@https://www.elon.se/kundtjanst:providers(magento) | DECISION@contact_like@https://www.elon.se/kundtjanst | contact_like@https://www.elon.se/om-oss:hasCheckout(urlPath:/checkout) | contact_like@https://www.elon.se/om-oss:hasCart(urlPath:/cart) | contact_like@https://www.elon.se/om-oss:providers(magento) | DECISION@contact_like@https://www.elon.se/om-oss,,,,,,,,,,,,no,,41,"is_webshop, platform:magento, has_email, has_orgnr",dom_fallback:0_urls
556836-2163,Gunnebo Trädgård AB,Gunnebo Trädgård AB,Trädgård,Jordbruk,Jordbruk; Jordbruk - odling,Skåne,Skurup,Skivarp,274 51,Landsvägen 9,14647000,2024-12,sweet_spot,true,5,,,,,http://www.gunnebotradgard.com/,https://www.allabolag.se/foretag/gunnebo-tradgard-ab/skurup/-/2K39BQRI63IHJ,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/gunnebo+tr%C3%A4dg%C3%A5rd+ab/skivarp/nrrdimmp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,gunnebotradgard.com,,https://gunnebotradgard.com,static,no,,,,,,,,,,,,,,,no,,5,has_identity,
559155-9629,Åhs Trädgårdsservice AB,Åhs Trädgårdsservice AB,Trädgård,"Markentreprenörer, anläggningsentreprenörer","Markentreprenörer, anläggningsentreprenörer; Entreprenadmaskinsarbeten; Entreprenörer; Byggmästare; Uthyrning",,,Norrköping,605 99,Norrkärrsvägen 6,14523000,2024-12,sweet_spot,true,7,,070-652 99 17,ahs.tradgardsservice@telia.com,https://www.ahstradgardsservice.com,https://www.ahstradgardsservice.com,https://www.allabolag.se/foretag/ahs-tradgardsservice-ab/-/-/2KH2J0TI5YG4F,already_present,,,ahstradgardsservice.com,,https://ahstradgardsservice.com,browser,no,,,,,,,,,,,,,,,no,,0,unreachable_or_parked,net::ERR_NAME_NOT_RESOLVED at https://ahstradgardsservice.com | method:browser
556505-8574,Mods Graphic Studio AB,Mods Graphic Studio Aktiebolag,Mode,"Designers, formgivare","Designers, formgivare; Tryckerier",Stockholm,Stockholm,Johanneshov,121 62,Livdjursgatan 4,14505000,2025-12,sweet_spot,true,11,,+46 70 143 59 56,hello@mods.se,https://mods.se/,https://mods.se/,https://www.allabolag.se/foretag/mods-graphic-studio-ab/stockholm/-/2K1AIOEI5YCXC,already_present,,,mods.se,hello@mods.se,https://mods.se,static,no,,,,,,,,,,,,,,,no,,5,has_identity,
559116-0592,Taj Mahal Beauty AB,Taj Mahal Beauty AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,111 60,Drottninggatan 100,14417000,2024-12,sweet_spot,true,7,,,,,,https://www.allabolag.se/foretag/taj-mahal-beauty-ab/stockholm/-/2KGTZ4GI63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:18 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Taj%20Mahal%20Beauty%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559337-3854,Maskinera AB,Maskinera AB,E-handel,E-handel,Auktioner; E-handel; Detaljhandel; Detaljhandel - annat,Stockholm,Nacka,Stockholm,131 52,Cylindervägen 18,14301000,2025-02,sweet_spot,true,13,,+46 8 91 04 11,info@maskinera.se,https://www.maskinera.se/,https://www.maskinera.se/,https://www.allabolag.se/foretag/maskinera-ab/nacka/-/2KI5EVYI5YDVM,already_present,,,maskinera.se,info@maskinera.se; filip.multan@maskinera.se; andreas.einarsson@maskinera.se,https://maskinera.se,static,yes,product_cards; priced_cards,,static@https://maskinera.se:pricedCards(multiPrices) | static@https://maskinera.se:productCards(200) | DECISION@static@https://maskinera.se,40,5,37,39,0,0,0,13,380,100,18,no,,49,"is_webshop, catalog_20plus, seo_gap_low, has_email",dom_fallback:40_urls | seo_sampled:5 gap:18
559180-7788,Sallakliniken AB,Sallakliniken AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Värmland,Sunne,Sunne,686 30,Älvgatan 40,14256000,2025-09,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/sallakliniken-ab/sunne/-/2KH7UI4I63IHB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Sallakliniken%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559389-7878,Novi Medical Solutions AB,Novi Medical Solutions AB,Kosmetika,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister",Stockholm,Stockholm,Stockholm,114 46,Humlegårdsgatan 19 a,14177000,2024-12,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/novi-medical-solutions-ab/stockholm/-/2KIGN86I63IIB,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:18 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Novi%20Medical%20Solutions%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559222-9446,WE Dental AB,WE Dental AB,Kosmetika,Hälsotjänster,"Hälsotjänster; Tandläkare; Kosmetik, parfym och frisörartiklar; Kosmetik - tillverkare och grossister; Grossister; Hudvårdsprodukter",Stockholm,Nacka,Nacka,131 57,Värmdövägen 171,14149000,2025-12,sweet_spot,true,9,,+46 8 500 077 19,,,http://www.wedental.se,https://www.allabolag.se/foretag/we-dental-ab/nacka/-/2KHGVUUI63IHB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/we+dental+ab/nacka/lsbjkmgst | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,wedental.se,kontakt@wedental.se,https://www.wedental.se/customer-service,browser,no,,,,,,,,,,,,,,,no,,0,not_webshop,
