name, orgnr
Höganäs Hamnbyggnads Aktiebolag,556000-8301
RoosGruppen AB,556002-1387
Starbo Bruk Aktiebolag,556006-9840
Täby Fastighetsaktiebolag,556007-4642
BJC Fastighetsutveckling AB,556014-7802
Jonssons Entreprenad i Virserum AB,556017-2875
EntreprenadA Väst AB,556019-1990
Bröderna Kollbergs Grävmaskiner Aktiebolag,556021-0121
Brunkvist Kvalitets- och Målerikonsult AB,556021-4941
Stockholms Verkstadsaktiebolag,556025-2446
Orresta Förvaltning AB,556025-4731
Smista Park Aktiebolag,556025-9854
Nordisk Isoleringskonfektion AB,556027-8185
Milmer Bygg Sverige AB,556030-8537
Viskans Fastighetsaktiebolag,556031-0590
Z-Porttjänst Aktiebolag,556032-1001
Sjur & Hansson Värme AB,556032-9442
Aktiebolaget Jordförvaltning,556035-8961
R-M TeleCom Aktiebolag,556037-5379
Göteborgs Rörläggeri Aktiebolag,556037-7870
RMM Byggplåt Lars Rosendahl Aktiebolag,556039-4685
Kungsbacksvägen 14 Fastigheter Aktiebolag,556039-7530
Hartvigsons Bygg Aktiebolag,556041-1588
Söderholms El & VVS AB,556041-3055
Nessen Förvaltnings Aktiebolag,556041-3329
G.A. Johanssons Rörinstallations Aktiebolag,556041-6546
Olof Gustafssons Byggnadsfirma Aktiebolag,556041-7742
Rydahls Teknik AB,556041-9599
Smedby Bygg och Kakel i Norrköping AB,556043-5207
Adolfssons Svetsservice AB,556043-6254
Mälby Glas Aktiebolag,556044-3508
Winlöfs El och Kyl Aktiebolag,556044-5586
Trollhättans Glasmästeri Aktiebolag,556046-2227
Aktiebolaget Örebro Elektro-Lindningar,556048-3421
Aktiebolaget Bröderna Hellmans Glasmästeri,556048-5475
Vatthammars Elektriska AB,556050-1537
Blomlöfs Utö AB,556051-7061
Aktiebolaget Hjalmar Ohlssons Elektriska Byrå,556051-7236
Svensk Grundundersökning Aktiebolag,556053-0668
Kvidinge Entreprenad AB,556053-2128
Aktiebolaget Axel & Hartvig Nylander,556054-5401
Aktiebolaget R. A.-Byggen,556056-7827
Västkustens El Marin Aktiebolag,556057-3908
ITRC Sverige AB,556057-5135
Aktiebolaget Artur Sjöberg Smide,556057-6273
Elektroarbeten i Saltsjöbaden Aktiebolag,556058-1778
Ronnys Gräv och Mekaniska Aktiebolag,556058-2156
Lars Sundström Aktiebolag,556058-2982
Nils Börje Bygg Aktiebolag,556058-8039
Westerberg & Pålsson Aktiebolag,556059-5976
Knut Olsson Fastigheter AB,556059-9721
Slutplattan HURGI 124531 AB,556060-2343
Motor-Ola Maskiner Aktiebolag,556060-3572
Söderbloms Isolering Aktiebolag,556060-4620
E. Cederholms Rör Aktiebolag,556060-8134
CATV Sweden AB,556060-8399
Smålands Heating AB,556060-8472
Bertil Nilssons Elektriska Aktiebolag,556060-9504
KylClimat Tech KCT AB,556061-2581
Vimmerby Gräv & Schakt Aktiebolag,556061-4264
Aktiebolaget Lennart Bengtssons Smides- & Reparationsverkstad,556061-4959
Byggnads Aktiebolaget Bröderna Olsson,556061-5493
Eltel Networks TE AB,556062-0006
Lars Gustafsson i Lidköping Aktiebolag,556062-4461
L.W. Distribution Aktiebolag,556063-2464
Fastighetsaktiebolaget Andrén Andersson,556063-3686
Byggnadsaktiebolaget Eriksson & Rann,556064-0582
Winther Bygg Aktiebolag,556064-2042
Mariefreds Elektrotjänst Aktiebolag,556064-2919
Arnold Larsson Swedish Construction Aktiebolag,556064-6563
EGP Industrigolv Aktiebolag,556064-8049
Nyckelman Aktiebolag,556065-0656
Trädgårdstjänst i Växjö Aktiebolag,556065-3007
Lunds Glasmästeri Aktiebolag,556065-4344
UW-Construction Aktiebolag,556065-6216
Elias Bygg Aktiebolag,556065-8865
Alfa Clips Aktiebolag,556065-9418
Aktiebolaget Mora Mobillyft,556066-1240
A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,556066-6389
Tegeco AB,556066-6488
Valter Carlsson Handel och Måleri Aktiebolag,556067-1041
Gerts Lås & Larm Aktiebolag,556067-8574
Waldmarks Entreprenad i Kungsbacka AB,556067-9150
Sandholms Färg & Golv AB,556068-2493
Hallstaviks Transport Aktiebolag,556068-4044
Dragetgruppen Bygg AB,556068-6676
Stålice Coold AB,556069-2039
Aktiebolaget Joel Fläcke,556069-2609
Kungsbacka Schakt Aktiebolag,556069-5396
SSM Byggservice Aktiebolag,556069-6485
Bohusläns Kommunala Exploateringsaktiebolag,556069-9539
Dan Jonsons Elektriska Aktiebolag,556070-1160
Thunholms Byggnads Aktiebolag,556070-8009
Friska Fläktar Installation AB,556070-9346
Ventilation & Smide i Kopparberg Aktiebolag,556071-7331
Aktiebolaget Mora El-Byrå,556071-9915
Wicklunds i Täby AB,556072-0798
Sundströms Ventilations- & Energiprodukter Aktiebolag,556072-1036
Mobilkranar Aktiebolag,556072-3156
Hornsplans Låsservice Aktiebolag,556072-4394
Jacobssons Elektriska Aktiebolag,556072-9294
Tinkarp Invest AB,556073-2124
Njurunda Isolering Aktiebolag,556073-2249
Aktiebolaget Bröderna Holsts Golvbeläggning,556073-4179
Gamleby Röraktiebolag,556073-4658
Aktiebolaget Deje Byggtjänst,556073-6992
Interflooring Company Aktiebolag,556074-5423
Färg & Co Måleri i Arvika AB,556074-5571
Älmhults Glasmästeri AB,556074-7254
Förvaltningsaktiebolaget Kalmar Nyckel,556075-0266
Janssons Elektriska i Skinnskatteberg Aktiebolag,556075-1090
Tord Svensson fastigheter AB,556075-2148
Lebam Brunnsborrning AB,556075-2650
AB Surahammars Elektriska,556075-6800
Elektrotjänst i Rimbo Aktiebolag,556075-8178
Morgan Hjorths Elektriska Aktiebolag,556076-1180
Svavlet 3 i Malmö AB,556076-3624
LMB Måleribolag i Linköping Aktiebolag,556076-5835
M.B. Mark & Betong Aktiebolag,556077-1536
Aktiebolaget Täckdikningar,556077-1700
Aktiebolaget Kungslås,556077-4530
Sustaining AB,556077-6816
Åda Gods AB,556078-0859
Idilator Förvaltning AB,556078-0909
Hamu Glasmästeri Aktiebolag,556078-4307
Byggnadsfirman Bengtsson & Söner Aktiebolag,556078-5767
Målerifirma Åke Borggren Aktiebolag,556078-7045
Eklinds i Vaggeryd Aktiebolag,556078-8951
Arne & B-M:s Gårdsförvaltning AB,556079-0635
Närkes Rörlednings Aktiebolag,556079-2243
Byggnadsaktiebolaget N.J. Andersson & Son,556079-8299
VIKAB Aktiebolag,556080-1978
BIAB Entreprenad AB,556080-7439
Mårdhs Plåtslageri Aktiebolag,556080-8429
Rörbolaget i Smålandsstenar Aktiebolag,556080-8585
Norrköpings Stenindustri Aktiebolag,556080-9955
Carlssons Glasmästeri i Sala Aktiebolag,556081-5077
Barkarby Elinstallationer Aktiebolag,556081-8592
J.H.S. Byggnadsaktiebolag,556082-0382
Måleriaktiebolaget Gösta Andersson & Söner,556082-3782
Fjärås Bygg AB,556082-7650
S.A Gruppen i Alingsås AB,556082-8203
Strömslunds Elektriska Aktiebolag,556082-8641
Aktiebolaget C.R. Malms Trädgårdsanläggningar,556083-0381
Sjölanders Kranlyft Aktiebolag,556083-2650
Aktiebolaget Årsta Plåtslageri,556083-2932
Andreas Henrikson Äventyr AB,556083-4334
Aktiebolaget Mellanströms Schakt & Planering,556083-4367
VVS-Huset Malmö Aktiebolag,556083-8236
Traktorfirma Anders Segerlund Aktiebolag,556084-1446
Loevaas Industriservice AB,556084-3434
