name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Örbyhus Möbelaffär AB",556538-5381,16169,5,"748 40 Örbyhus","Glasarbeten;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%B6rbyhus-m%C3%B6belaff%C3%A4r-ab/%C3%B6rbyhus/-/5565385381
"Önskebutiken i Varberg Aktiebolag",556216-7022,11228,5,"432 41 Varberg","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%B6nskebutiken-i-varberg-aktiebolag/varberg/-/5562167022
"Önska Frölunda AB",556885-9341,11445,5,"332 33 Gislaved","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%B6nska-fr%C3%B6lunda-ab/gislaved/-/5568859341
"Åsélls Möbelhus Eftr Aktiebolag",556528-5755,11884,4,"931 57 Skellefteå","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%A5s%C3%A9lls-m%C3%B6belhus-eftr-aktiebolag/skellefte%C3%A5/-/5565285755
"Åkerströms Elektriska Aktiebolag",556220-1300,13654,7,"786 97 Björbo","Byggmästare;Elinstallationer;Radio TV, video;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%A5kerstr%C3%B6ms-elektriska-aktiebolag/bj%C3%B6rbo/-/5562201300
"Åkerbo El och Måleri AB",559253-1783,12882,9,"387 72 Löttorp","Belysningsarmatur - Komponenter;Byggmästare;Elektronik - Legotillverkning;Elinstallationer;Måleriarbeten;Grossister;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Reparatörer;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/%C3%A5kerbo-el-och-m%C3%A5leri-ab/l%C3%B6ttorp/-/5592531783
"www.paintpro.se Sverige AB",559014-9414,13092,2,"514 60 Dalstorp","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/www.paintpro.se-sverige-ab/dalstorp/-/5590149414
"umeåDUÅ AB",556711-7394,16261,5,"903 26 Umeå","Catering;Livsmedel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ume%C3%A5du%C3%A5-ab/ume%C3%A5/-/5567117394
"i1 Adrioli AB",556811-0893,10180,6,"452 38 Strömstad","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/i1-adrioli-ab/str%C3%B6mstad/-/5568110893
"i deoconcept AB",556773-8710,16782,4,"431 50 Mölndal","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/i-deoconcept-ab/m%C3%B6lndal/-/5567738710
"afswedala Aktiebolag",556798-8521,10247,1,"516 31 Dalsjöfors","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/afswedala-aktiebolag/dalsj%C3%B6fors/-/5567988521
"ZINNIA AB",556895-1056,10088,7,"532 40 Skara","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Blommor, växter och tillbehör",https://www.allabolag.se/foretag/zinnia-ab/skara/-/5568951056
"Wisby Ur & Guld Aktiebolag",556189-4519,14139,3,"02414 139","Guld, silver, ädelstenar;Klockor, ur;Möbler, inredning, kök- och belysningsutrustning;Optik och optisk utrustning;Urmakare;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/wisby-ur-guld-aktiebolag/visby/-/5561894519
"Wilzéns Snickeri i Tranås AB",556359-4679,11736,7,"573 41 Tranås","Möbler;Trävaror;Grossister;Möbler - Produktion;Producenter;Trä och byggvaror - grossist;Trävaror - produktion;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/wilz%C3%A9ns-snickeri-i-tran%C3%A5s-ab/tran%C3%A5s/-/5563594679
"Walles & Walles Aktiebolag",556455-8996,17957,6,"113 56 Stockholm","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/walles-walles-aktiebolag/stockholm/-/5564558996
"Walfrid Svenssons Möbler AB",559097-1734,12071,2,"652 20 Karlstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/walfrid-svenssons-m%C3%B6bler-ab/karlstad/-/5590971734
"Väsby Färghall Aktiebolag",556079-1112,19519,6,"194 63 Upplands Väsby","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/v%C3%A4sby-f%C3%A4rghall-aktiebolag/upplands-v%C3%A4sby/-/5560791112
"Väddö Möbelaffär Aktiebolag",556177-1246,13372,9,"764 31 Väddö","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/v%C3%A4dd%C3%B6-m%C3%B6belaff%C3%A4r-aktiebolag/v%C3%A4dd%C3%B6/-/5561771246
"Vitra AB",556864-3760,19465,9,"116 33 Stockholm","Kontorsinredningar;Postorder/e-handel;Grossister;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/vitra-ab/stockholm/-/5568643760
"Viking Led AB",559165-8280,10103,2,"564 35 Bankeryd","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elmateriel;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/viking-led-ab/bankeryd/-/5591658280
"Verkstan på Gotland AB",559203-2550,11045,4,"621 56 Visby","Postorder/e-handel;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/verkstan-p%C3%A5-gotland-ab/visby/-/5592032550
"Vandra Rugs AB",556702-1943,15744,4,"114 53 Stockholm","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/vandra-rugs-ab/stockholm/-/5567021943
