ICP_Score,ICP_Reasons,OrgNr,Name,Email,Phone,Is_AB,Reg_Year,Company_Age,Employees,Branch,Branch_Segment,SNI_Code,Omsattning_SEK,Omsattning_Year,Rorelseresultat_SEK,Arets_Resultat_SEK,Kortfristiga_Skulder_SEK,Langfristiga_Skulder_SEK,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5567970321,Q.R.E.M - QUALITY REAL ESTATE MANAGEMENT AB,info@qrem.se,+4686445100,true,2010,16,3,Teknisk konsultverksamhet inom bygg- och anläggningsteknik,core,,7242000,2025,2126000,2537000,1649000,315000,Kreditinstitut,Övriga skulder till kreditinstitut,314547,0,Övriga skulder till kreditinstitut,26640,0
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5567503692,WeldTec i Molkom AB,mats@weldtec.se,+46706415811,true,2008,18,4,Teknisk konsultverksamhet inom bygg- och anläggningsteknik,core,,6363000,2025,417000,414000,1266000,71000,Kreditinstitut,Övriga skulder till kreditinstitut,0,70500,Övriga skulder till kreditinstitut,0,55000
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5568471725,Wernerssons snickeri i Ödeshög AB,info@wernerssonsnickeri.se,,true,2011,15,3,Tillverkning av övriga byggnads- och inredningssnickerier,core,,5480000,2025,292000,36000,1156000,564000,Kreditinstitut,Övriga skulder till kreditinstitut,564061,701943,Övriga skulder till kreditinstitut,150416,150416
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5569010746,Se-Basset Trä & Inredning AB,sebasset@outlook.com,+46704927739,true,2012,14,2,Tillverkning av övriga byggnads- och inredningssnickerier,core,,5069000,2025,810000,392000,659000,4883000,Kreditinstitut,Övriga skulder till kreditinstitut,4817250,4921000,Övriga skulder till kreditinstitut,147000,129000
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5566288055,Redovisningstjänst i Delsbo AB,helena@nordins.nu,+46771416417,true,2002,24,3,Redovisning och bokföring; skatterådgivning,core,,4303000,2025,299000,276000,1396000,93000,Kreditinstitut,Övriga skulder till kreditinstitut,802,3750,,,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5567638993,Törnmans Åkeri AB,tornmans.akeri@telia.com,+46738317080,true,2008,18,2,"Passagerartrafik på beställning, fordon med förare",core,,3864000,2024,387000,262000,604000,208000,Kreditinstitut,Övriga skulder till kreditinstitut,208307,147659,Övriga skulder till kreditinstitut,201600,128543
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5568661135,Norrkompetens i Skellefteå AB,info@norrkompetens.com,,true,2011,15,2,Konsultverksamhet avseende företags organisation,core,,3209000,2025,977000,568000,206000,,Kreditinstitut,Övriga skulder till kreditinstitut,10730,0,,,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5590294236,Veredo AB,,+4652238550,true,2015,11,3,Redovisning och bokföring; skatterådgivning,core,,3136000,2024,101000,134000,729000,67000,Kreditinstitut,Övriga skulder till kreditinstitut,99,,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5568343635,maprojektab AB,maprojektab@gmail.com,,true,2011,15,3,Konsultverksamhet avseende företags organisation,core,,14922000,2025,775000,545000,2309000,642000,Kreditinstitut,Övriga skulder till kreditinstitut,642122,0,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5568228356,Vaxia Entreprenad AB,jennie@jasprojekt.se,+46701493409,true,2010,16,4,Rivning av hus och byggnader,core,,10680000,2024,213000,38000,1557000,215000,Kreditinstitut,Övriga skulder till kreditinstitut,077070,,Övriga skulder till kreditinstitut,71500,262488
