OrgNr,Name,Email,Phone,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
5595284844,HemmaSupport Sverige AB,kontakt@hemmasupport.se,+46313758030,,,,,,,
5595176750,Emanuels Restaurang,info@emanuelsrestaurang.se,,,,,,,,
5595173922,R.L Avlopp AB,lundstrommikael773@gmail.com,+4620899546,,,,,,,
5594923731,VILLABESIKTNINGAR,info@husbesiktningar.com,+4684753555,Svea,,,,,,
5594881517,Alla rättigheter förbehållna. AIUC är en del av Ampliro AB,aolsson@ampliro.com,+46855516200,,,,,,,
5594881228,Taxi Helsingborg,danijel-osmanovic@hotmail.com,,,,,,,,
5594849258,Din professionella elektriker i Kalmar & Öland,andreas@elenheten.se,+46766488852,,,,,,,
5594837360,Sock Team AB,hej@sockteam.se,+46735000152,,,,,,,
5594775743,Näset Fastighetskonsult AB,konsult.tomas@outlook.com,,,,,,,,
5594699810,Pest Pro AB,info@pestpro.se,+46106600560,,,,,,,
5594643651,Herostar Investment AB,info@ekoakuten.se,,,,,,,,
5594609868,Larsson Energi AB,fredrik@larssonenergi.se,+46760330311,,,,,,,
5594595661,Hobbykort,facevictor@hotmail.se,,,,,,,,
5594544636,Träd och gård,Jonny@tradochgard.com,+46735659578,,,,,,,
5594528951,Byggnadsvård & eko,byggnadsvardocheko@outlook.com,+46760299833,,,,,,,
5594523911,Silodykarna Falkenberg AB,daniel@silodykarna.se,+46707985361,,,,,,,
5594415779,SWS Rör & VVS,samuel@swsrorovvs.se,+46903493434,,,,,,,
5594364399,Kostmotion,info@kostmotion.se,+46706009624,,,,,,,
5594325770,DaleTeknik - One stop shop för mobil blästringsteknik,leon@daleteknik.se,+46702116326,,,,,,,
5594254582,Tiles Europe AB,info@kakellux.se,+46406208090,,,,,,,
5594245721,Bläckpatroner och tonerpatroner,,,,,,,,,
5594243254,Bosse Byggare AB,,,,,,,,,
5594240730,VVS Göteborg,anna.svensson@rubik.se,+4631220305,,,,,,,
5594030941,Sälj skins via Swish,info@skinhallen.se,,,,,,,,
