ICP_Score,ICP_Reasons,OrgNr,Name,Email,Phone,Is_AB,Reg_Year,Company_Age,Employees,Branch,Branch_Segment,SNI_Code,Omsattning_SEK,Omsattning_Year,Rorelseresultat_SEK,Arets_Resultat_SEK,Kortfristiga_Skulder_SEK,Langfristiga_Skulder_SEK,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5569648081,Patric Bjälkander AB,patric@toponehockey.se,,true,2014,12,4,Teknisk konsultverksamhet inom bygg- och anläggningsteknik,core,,5853000,2025,930000,662000,840000,1786000,Kreditinstitut,Övriga skulder till kreditinstitut,1785988,1823992,Övriga skulder till kreditinstitut,38,00438004
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5566666581,Mälardalens Stenhuggeri AB,info@malardalensstenhuggeri.se,,true,2004,22,2,"Huggning, formning och slutlig bearbetning av sten för byggnadsändamål",core,,3357000,2025,103000,47000,1321000,463000,Kreditinstitut,Övriga skulder till kreditinstitut,194135,191661,,,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5569348690,Eloteknic i Arbrå AB,,,true,2013,13,2,Teknisk konsultverksamhet inom industriteknik,core,,3712000,2025,-200000,-54000,487000,975000,Kreditinstitut,Övriga skulder till kreditinstitut,701,3000,Övriga skulder till kreditinstitut,013000,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5590039813,CHN Consulting AB,info@chnconsulting.se,+46736693979,true,2015,11,2,Övrig teknisk konsultverksamhet,core,,3579000,2024,46000,2000,774000,85000,Kreditinstitut,Övriga skulder till kreditinstitut,484800,131600,,,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5566895313,Björkviks Takstolar AB,info@bjorkvikstak.se,+46725048873,true,2006,20,3,Tillverkning av övriga byggnads- och inredningssnickerier,core,,3612000,2025,-472000,-558000,3060000,900000,Kreditinstitut,Övriga skulder till kreditinstitut,900200,1183400,Övriga skulder till kreditinstitut,283200,283200
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5561100883,Aktiebolaget Vitaby Snickerifabrik,info@vitabytrappan.com,,true,1972,54,3,Tillverkning av övriga byggnads- och inredningssnickerier,core,,4109000,2025,-528000,-538000,1072000,177000,Kreditinstitut,Övriga skulder till kreditinstitut,40000,60000,Övriga skulder till kreditinstitut,30000,30000
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5566326277,KAP i Östersund AB,per.knutas@kapab.se,+4663127090,true,2002,24,4,Teknisk konsultverksamhet inom industriteknik,core,,4823000,2024,-792000,-518000,936000,42000,Kreditinstitut,Övriga skulder till kreditinstitut,41990,90000,Övriga skulder till kreditinstitut,48000,48000
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5562912658,Aktiebolaget Spikab,info@spikab.se,+46702748498,true,1987,39,4,Tillverkning av övriga byggnads- och inredningssnickerier,core,,4938000,2025,129000,10000,1039000,3373000,Kreditinstitut,Övriga skulder till kreditinstitut,,3399645,Övriga skulder till kreditinstitut,380796,360696
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5566754957,Wasasten of Sweden AB,info@wasasten.se,+4625154000,true,2005,21,3,"Huggning, formning och slutlig bearbetning av sten för byggnadsändamål",core,,5447000,2024,-667000,-749000,2016000,3251000,Kreditinstitut,Övriga skulder till kreditinstitut,690625,0,Skulder till kreditinstitut,540625,0
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5563839686,Handens Persiennfabrik AB,info@handenspersienner.se,+4687771051,true,1990,36,3,Byggplastvarutillverkning,core,,5016000,2025,16000,2000,538000,17000,Kreditinstitut,Övriga skulder till kreditinstitut,16606,63494,Övriga skulder till kreditinstitut,67980,86536
