OrgNr,Name,Email,Phone,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
5560008301,Höganäs Hamnbyggnads Aktiebolag,,,,,,,,,
5560021387,RoosGruppen AB,info@roosgruppen.com,,,,,,,,
5560069840,Starbo Bruk Aktiebolag,johan.sundby@krontorp.se,+4624025052,Kreditinstitut,Övriga skulder till kreditinstitut,2875000,25875000,,,
5560074642,Täby Fastighetsaktiebolag,,+4687689000,,,,,,,
5560147802,BJC Fastighetsutveckling AB,bengt.westin@bjcgroup.se,,,,,,,,
5560172875,Jonssons Entreprenad i Virserum AB,info@jonssonsentreprenad.se,+46706341686,,,,,,,
5560191990,EntreprenadA Väst AB,entreprenada@telia.com,+46520498095,,,,,,,
5560210121,Bröderna Kollbergs Grävmaskiner Aktiebolag,,+46739287038,,,,,,,
5560214941,Brunkvist Kvalitets- och Målerikonsult AB,kent@brunkvist.se,+4687117928,,,,,,,
5560252446,Stockholms Verkstadsaktiebolag,jarmo@svasmide.se,+46708299595,Kreditinstitut,Övriga skulder till kreditinstitut,286483,286483,,,
5560254731,Orresta Förvaltning AB,info@orrestaforvaltning.se,,Kreditinstitut,Övriga skulder till kreditinstitut,9133,0,,,
5560259854,Smista Park Aktiebolag,,+4687015960,,,,,,,
5560278185,Nordisk Isoleringskonfektion AB,,+4657012277,,,,,,,
5560308537,Milmer Bygg Sverige AB,andreas.bergenholz@gmail.com,+4640939092,,,,,,,
5560310590,Viskans Fastighetsaktiebolag,wiskan.je@gmail.com,,Kreditinstitut,Övriga skulder till kreditinstitut,964289,2372201,Skulder till kreditinstitut,964289,2372201
5560321001,Z-Porttjänst Aktiebolag,z-porttjanst@telia.com,+4663513564,,,,,,,
5560329442,Sjur & Hansson Värme AB,niklas@7hvarme.com,+46321533382,,,,,,,
5560358961,Aktiebolaget Jordförvaltning,hans-moller@telia.com,+46850151588,Kreditinstitut,Övriga skulder till kreditinstitut,16225000,16700000,Övriga skulder till kreditinstitut,75000,675000
5560375379,R-M TeleCom Aktiebolag,dallas@rmtelecom.se,+46705368068,,,,,,,
5560377870,Göteborgs Rörläggeri Aktiebolag,goteborgs.rorlaggeri.ab@epost.ventelo.se,+4631121000,,,,,,,
5560397530,Kungsbacksvägen 14 Fastigheter Aktiebolag,wican@telia.com,,,,,,,,
5560411588,Hartvigsons Bygg Aktiebolag,,+46370334550,,,,,,,
5560413055,Söderholms El & VVS AB,info@soderholms.se,,,,,,,,
5560413329,Nessen Förvaltnings Aktiebolag,,+4687670400,,,,,,,
5560416546,G.A. Johanssons Rörinstallations Aktiebolag,,,,,,,,,
5560417742,Olof Gustafssons Byggnadsfirma Aktiebolag,ogbygg@outlook.com,,,,,,,,
5560394685,RMM Byggplåt Lars Rosendahl Aktiebolag,rmm-byggplat@telia.com,,,,,,,,
5560419599,Rydahls Teknik AB,mail@rydahls-el.se,+4654854555,,,,,,,
5560435207,Smedby Bygg och Kakel i Norrköping AB,,,,,,,,,
5560436254,Adolfssons Svetsservice AB,,+46702021321,,,,,,,
5560443508,Mälby Glas Aktiebolag,,+4617410416,,,,,,,
5560445586,Winlöfs El och Kyl Aktiebolag,,+46736823466,,,,,,,
5560462227,Trollhättans Glasmästeri Aktiebolag,info@trollglas.se,+4652010670,,,,,,,
5560483421,Aktiebolaget Örebro Elektro-Lindningar,orebroelektrolindningar@telia.com,+4619123203,,,,,,,
5560485475,Aktiebolaget Bröderna Hellmans Glasmästeri,info@hellmansglas.se,+4651510595,Kreditinstitut,Övriga skulder till kreditinstitut,04251,,,,
