ICP_Score,ICP_Reasons,OrgNr,Name,Email,Phone,Is_AB,Reg_Year,Company_Age,Employees,Branch,Branch_Segment,SNI_Code,Omsattning_SEK,Omsattning_Year,Rorelseresultat_SEK,Arets_Resultat_SEK,Kortfristiga_Skulder_SEK,Langfristiga_Skulder_SEK,Lender_Keywords,Keyword_Line_1,Recent_Year_Value,Previous_Year_Value,Keyword_Line_2,Recent_Year_Value,Previous_Year_Value
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5569710626,Ziges Bygg Aktiebolag,ziggesbygg@gmail.com,+46707415522,true,2014,12,2,Byggande av bostadshus och andra byggnader,core,,3495000,2024,260000,146000,779000,13000,Kreditinstitut,Övriga skulder till kreditinstitut,11096,77768,,,
11,"AB,revenue_core,employees_core,age_core,branch_core,has_lender_debt",5568293822,YUNKO AB,,,true,2011,15,2,Byggande av bostadshus och andra byggnader,core,,3479000,2024,9000,6000,318000,227000,Kreditinstitut,Övriga skulder till kreditinstitut,300088,255990,,,
10,"AB,revenue_soft,employees_core,age_core,branch_core,has_lender_debt",5569223984,Örgryte Seniorpool AB,mnykom1@gmail.com,,true,2013,13,3,Byggnadssnickeriarbeten,core,,2781000,2024,-461000,-322000,474000,86000,Kreditinstitut,Övriga skulder till kreditinstitut,85925,121805,,,
10,"AB,revenue_core,employees_soft,age_core,branch_core,has_lender_debt",5590281688,Wootz Mureri AB,,+46703534802,true,2015,11,1,Annan övrig specialiserad bygg- och anläggningsverksamhet,core,,3253000,2025,887000,256000,411000,5754000,Kreditinstitut,Övriga skulder till kreditinstitut,5527386,5546492,Övriga skulder till kreditinstitut,18780,18780
9,"AB,revenue_core,employees_core,age_core,branch_core",5564641891,Östermalms Lås Aktiebolag,info@ostermalmslas.se,+4686640000,true,1993,33,2,Andra bygginstallationer,core,,3085000,2025,187000,158000,492000,,,,,,,,
9,"AB,revenue_core,employees_core,age_core,branch_core",5565769741,Östergötlands Bygg & Teknik AB,info@obtab.com,+4611181062,true,1999,27,2,Byggnadssnickeriarbeten,core,,3394000,2025,148000,126000,750000,31000,,,,,,,
9,"AB,revenue_core,employees_core,age_core,branch_core",5590433016,Öckerö Byggservice AB,fh.byggservice@hotmail.com,,true,2016,10,2,Byggnadssnickeriarbeten,core,,3332000,2025,19000,8000,839000,,,,,,,,
9,"AB,revenue_core,employees_core,age_core,has_lender_debt",5568500457,Åre Markentreprenad & Service AB,mathias.are@telia.com,+46705104720,true,2011,15,2,Mark- och grundarbeten,other,,3482000,2025,182000,230000,244000,300000,Kreditinstitut,Övriga skulder till kreditinstitut,300390,416670,Övriga skulder till kreditinstitut,116280,116280
9,"AB,revenue_core,employees_core,age_core,has_lender_debt",5562895309,Åhus Takservice Aktiebolag,ahustakservice@telia.com,+46705247778,true,1987,39,2,Takarbeten av andra material än plåt,other,,3263000,2025,459000,1426000,399000,694000,Kreditinstitut,Övriga skulder till kreditinstitut,0693750,,Övriga skulder till kreditinstitut,0,75000
9,"AB,revenue_core,employees_core,age_core,branch_core",5567532956,ÅSAB Hyresmaskiner nu AB,,+46854062200,true,2008,18,3,Uthyrning av bygg- och anläggningsmaskiner med förare,core,,3344000,2025,115000,230000,482000,,,,,,,,
9,"AB,revenue_core,employees_core,age_core,branch_core",5568394612,Ängelholms Plattsättning & Bygg AB,aplatt@telia.com,+46707166324,true,2011,15,3,Annan övrig specialiserad bygg- och anläggningsverksamhet,core,,3226000,2023,75000,-200000,1345000,244000,,,,,,,
9,"AB,revenue_core,employees_core,age_core,branch_core",5590536461,olssons tak Ulricehamn AB,,+46760256056,true,2016,10,2,Byggnadssnickeriarbeten,core,,3366000,2025,787000,546000,218000,,,,,,,,
